parallelism 10000000-1000000 20000000-2000000 30000000-3000000 40000000-4000000 50000000-5000000 60000000-6000000 70000000-7000000 80000000-8000000 90000000-9000000
1 10.5278:949867.1509:0.0763 13.7168:1458294.0589:0.0870 19.9590:1503335.6474:0.0875 26.4202:1514756.9103:0.0868 32.5116:1537975.4179:0.0857 38.9006:1542695.5502:0.0858 45.5310:1537547.9094:0.0855 51.7018:1547719.9392:0.0860 58.2732:1544959.2661:0.0847
2 10.5548:947440.6912:0.0797 10.5494:1895845.9793:0.1089 11.0048:2726445.9293:0.1342 14.3780:2783982.6976:0.1379 17.6500:2835661.2483:0.1416 21.1600:2836153.7117:0.1440 24.7720:2830077.4400:0.1467 31.7796:2520203.3667:0.1468 35.6826:2524684.5907:0.1499
3 10.6036:943077.3204:0.0811 10.6126:1884556.7820:0.1169 10.6072:2828277.3422:0.1511 11.1612:3587812.4528:0.1931 14.6310:3419924.7336:0.2018 17.2226:3488973.6088:0.2094 19.7446:3550416.9541:0.2122 22.5828:3545527.0818:0.2223 27.2046:3318564.1663:0.2254
4 10.6376:940061.8195:0.0905 10.6410:1879526.0775:0.1203 10.6340:2821145.0414:0.1595 10.8236:3696369.6824:0.2216 12.2082:4097375.3668:0.2573 13.8320:4351783.5600:0.2703 14.9420:4687189.1304:0.2782 18.8338:4253616.6185:0.2806 21.5264:4192670.1650:0.2896
5 10.6720:937031.8232:0.0947 10.6828:1872180.3937:0.1240 10.6660:2812676.5733:0.1675 10.6822:3744552.6691:0.2191 11.1578:4492351.5095:0.2893 13.5872:4424946.1561:0.3168 15.2120:4607587.5082:0.3224 17.5090:4585246.6742:0.3395 19.8824:4529710.1301:0.3438
6 10.7098:933724.7264:0.0954 10.7342:1863209.7716:0.1243 10.7280:2796437.2680:0.1739 10.7160:3732741.1736:0.2412 11.3184:4418463.4361:0.3346 13.2014:4547524.0305:0.3569 15.5006:4520980.5800:0.3682 17.0234:4703717.6727:0.3848 20.4204:4409254.4741:0.3808
7 10.7496:930267.7351:0.0986 10.7606:1858638.2228:0.1363 10.7830:2782164.5455:0.1869 10.7690:3714369.8681:0.2570 10.9178:4580711.5924:0.3544 13.1646:4560556.0425:0.3963 15.6706:4468448.7694:0.4110 17.0834:4686927.1653:0.4293 19.1018:4714301.8177:0.4383
8 10.7944:926408.5679:0.1037 10.7742:1856288.4709:0.1367 10.8062:2776210.4195:0.1890 10.7948:3705495.5852:0.2765 11.2200:4460727.7487:0.3994 13.3160:4507656.1958:0.4307 14.7078:4761997.5763:0.4533 16.7228:4785296.0770:0.4707 18.3248:4913136.6873:0.4824
9 10.8164:924523.7763:0.1021 10.8118:1849835.1276:0.1416 10.8228:2771933.2311:0.1887 10.8226:3695980.3594:0.2627 10.8162:4622699.5294:0.3942 12.5530:4781745.1120:0.4678 14.8480:4714993.2952:0.4808 16.6540:4806421.8808:0.4994 18.4794:4872000.0014:0.5089
10 10.8526:921438.9705:0.1034 10.8450:1844170.5357:0.1452 10.8340:2769060.7147:0.1971 10.8556:3684740.8555:0.2939 10.8694:4600078.4380:0.4403 12.9292:4641941.4758:0.4788 14.5184:4822181.2463:0.5073 16.3938:4881091.5992:0.5253 18.0188:4996083.6426:0.5436
12 10.8984:917566.6431:0.1099 10.9278:1830202.8825:0.1470 10.9032:2751505.9504:0.2057 10.9250:3661336.4121:0.2973 11.0996:4508636.7791:0.4613 12.5630:4778196.6341:0.5072 14.2840:4901321.1658:0.5319 16.3960:4879480.6102:0.5548 18.2110:4942271.2817:0.5686
14 10.9736:911280.1405:0.1133 10.9586:1825053.2981:0.1539 10.9722:2734187.2477:0.2156 10.9716:3645779.2220:0.3222 11.0854:4510982.5767:0.4799 12.8282:4677694.1842:0.5202 14.8476:4714742.5333:0.5450 16.5018:4848159.8171:0.5657 18.5350:4856235.6486:0.5883
16 11.0144:907907.4012:0.1155 11.0214:1814660.6973:0.1580 11.0314:2719525.2913:0.2351 11.0288:3626899.4861:0.3228 11.1824:4471665.1989:0.4984 13.1946:4547478.2979:0.5311 15.3240:4568461.6774:0.5569 17.0422:4694300.6199:0.5795 19.0680:4720326.9551:0.5975
24 11.2772:886758.4987:0.1198 11.2922:1771228.0950:0.1756 11.2872:2657926.1849:0.2503 11.2608:3552203.4440:0.4017 12.1194:4125969.2455:0.5259 14.1392:4243785.4131:0.5612 16.2798:4299956.6980:0.5940 18.0790:4425165.8127:0.6083 20.3126:4430829.1552:0.6325
32 11.8600:843171.4774:0.1458 11.8358:1689821.0909:0.2004 11.9246:2515810.9055:0.2765 11.8820:3366525.7405:0.4052 13.1210:3811214.4854:0.5535 15.2228:3942257.0728:0.5828 17.4204:4018349.1952:0.6102 19.7918:4042316.3986:0.6238 22.3668:4024454.2879:0.6333
