parallelism 10000000-1000000 20000000-2000000 30000000-3000000 40000000-4000000 50000000-5000000 60000000-6000000 70000000-7000000 80000000-8000000 90000000-9000000
1 10.6704:937175.7761:0.0891 15.0322:1330970.5947:0.1015 22.0998:1357729.8520:0.1019 29.6134:1350789.4785:0.0992 38.1450:1311537.2586:0.0976 48.7318:1231704.6322:0.0972 66.7538:1077765.7336:0.0903 65.6582:1218614.8300:0.0979 81.2212:1118003.4966:0.0927
2 10.7146:933314.6086:0.1076 10.7746:1856272.8685:0.1422 13.3930:2243590.1383:0.1671 18.4510:2169042.5941:0.1760 23.2342:2153790.6173:0.1793 27.0036:2222603.0216:0.1826 32.1262:2179751.4744:0.1867 36.9794:2165736.2799:0.1865 42.2362:2131554.4721:0.1894
3 10.7410:931013.1331:0.1139 10.7838:1854664.8920:0.1600 10.8524:2764399.5532:0.2096 14.1124:2838559.3560:0.2319 17.1888:2912690.1900:0.2429 20.7390:2894651.7055:0.2542 25.5516:2743836.2908:0.2575 29.5906:2706122.5822:0.2590 33.3138:2703757.8934:0.2614
4 10.8106:925020.5127:0.1131 10.8370:1845533.9010:0.1727 10.9128:2749257.3693:0.2347 12.9036:3102374.2184:0.2894 15.9358:3138666.5343:0.3005 18.7608:3200937.3889:0.3107 23.0218:3044156.2219:0.3141 25.8090:3102224.7179:0.3211 28.1348:3200269.0835:0.3330
5 10.8382:922663.6450:0.1168 10.9152:1832323.8667:0.1676 10.9622:2736682.9557:0.2674 12.0480:3320681.9562:0.3253 15.3730:3258050.5508:0.3344 18.3028:3281786.0352:0.3524 21.4358:3270413.7908:0.3624 24.0270:3330519.7246:0.3706 27.1400:3327411.6654:0.4061
6 10.8842:918763.9433:0.1209 10.9194:1831609.1291:0.1736 10.9824:2731651.4895:0.2726 13.2800:3016914.7585:0.3639 15.2052:3296049.4637:0.3801 18.1004:3316575.1440:0.3903 20.9594:3341269.2750:0.4026 24.2556:3301935.4834:0.4107 26.4582:3405397.1896:0.4246
7 10.9528:913014.9643:0.1392 11.0042:1817495.2518:0.2093 10.9882:2730215.3375:0.3060 12.3792:3239378.2276:0.3874 14.9642:3342822.2373:0.4065 17.4842:3434622.8191:0.4224 20.5390:3411712.1203:0.4353 23.2960:3435609.9382:0.4500 26.1162:3448011.9534:0.4591
8 10.9740:911245.3873:0.1247 11.0046:1817424.0915:0.2077 11.0368:2718196.6771:0.3238 12.8438:3115326.8473:0.4066 14.6226:3421203.2545:0.4270 16.9024:3551568.9154:0.4480 19.7038:3552943.9625:0.4638 22.2902:3590236.2249:0.4769 25.2316:3568963.6477:0.4852
9 11.0400:905808.2569:0.1272 11.0442:1810912.6143:0.1974 11.0680:2710535.7910:0.3174 11.8160:3387067.6040:0.4178 14.6174:3421740.4732:0.4459 17.1020:3509798.8339:0.4645 19.7616:3542856.0208:0.4817 22.2354:3601084.7064:0.5006 24.9470:3608388.9728:0.5057
10 11.0704:903316.6637:0.1378 11.0776:1805456.2543:0.2079 11.1204:2697760.8592:0.2964 12.0780:3312683.6105:0.4440 14.8694:3363149.4939:0.4647 17.1214:3505693.0238:0.4846 19.6306:3566936.8259:0.5062 22.0524:3629163.6763:0.5223 24.3764:3692614.8998:0.5333
12 11.1818:894317.3448:0.1486 11.1806:1788812.9058:0.2268 11.2668:2662756.3357:0.3424 11.7154:3416641.3190:0.4499 14.1700:3528774.1340:0.4812 16.4564:3646185.8390:0.5042 19.4622:3597311.4791:0.5258 21.8292:3665315.1442:0.5455 24.8814:3617556.0724:0.5512
14 11.1814:894351.8821:0.1536 11.2078:1784486.8051:0.2436 11.2244:2672752.2360:0.3396 12.0908:3308527.7982:0.4642 14.5678:3433229.7345:0.4913 17.5014:3429092.9767:0.5207 19.8940:3519067.2351:0.5374 22.5076:3554666.6447:0.5498 24.9584:3606154.5899:0.5672
16 11.3026:884755.4727:0.1494 11.4004:1754482.2629:0.2387 11.3588:2641149.0551:0.3625 12.3838:3230955.7339:0.4709 15.0444:3323675.1751:0.5019 17.5862:3412066.6226:0.5277 20.3086:3447506.0252:0.5471 23.1106:3461980.5315:0.5608 25.7366:3497179.9160:0.5803
24 12.2228:818155.5007:0.1751 12.3024:1625815.9346:0.2777 12.4106:2417701.4082:0.3961 14.2248:2812854.3517:0.5054 17.1224:2920731.3359:0.5352 19.8666:3020611.8203:0.5546 22.6816:3086464.8907:0.5756 25.5500:3131907.5335:0.5939 28.0710:3206334.1856:0.6055
32 14.3334:697819.9862:0.2717 14.3280:1395964.6349:0.3710 14.4076:2083018.2083:0.5012 16.7912:2382430.5768:0.5477 19.8672:2517416.6443:0.5749 22.7944:2633057.0806:0.5923 25.6746:2726897.4206:0.6098 28.5916:2798345.2832:0.6237 31.5524:2852615.0427:0.6325
