parallelism 1000000-100000 2000000-200000 4000000-400000 6000000-600000 8000000-800000 10000000-1000000 12000000-1200000 13000000-1300000 14000000-1400000 15000000-1500000
1 11.0106:90821.7463:0.0618 11.2724:177428.4192:0.0636 11.4580:349445.3414:0.0802 12.2500:490136.4702:0.0857 12.9600:618122.4411:0.0913 13.7884:726373.9457:0.1014 17.3830:700461.9627:0.0944 19.1660:685598.2620:0.0912 22.0428:652357.7592:0.0897 24.7046:653175.6443:0.0896
2 10.8846:91873.4942:0.0705 10.9670:182366.4713:0.0764 11.2720:354905.9266:0.0846 11.6882:513420.6348:0.0949 11.5110:695077.1972:0.1100 12.3844:807560.0688:0.1123 12.5810:954668.1576:0.1237 12.6904:1025526.1237:0.1251 13.6438:1030165.7297:0.1289 13.5564:1115944.3916:0.1338
3 10.9604:91237.8351:0.0753 11.0488:181016.1538:0.0804 11.3876:351273.6174:0.0883 11.4158:525760.2080:0.1081 11.5998:689735.2964:0.1200 11.8820:841803.5322:0.1323 12.2236:982317.7484:0.1414 12.4820:1042344.8291:0.1501 12.5770:1113713.6515:0.1592 12.6970:1181857.9012:0.1699
4 11.0224:90724.5040:0.0783 11.2304:178098.3907:0.0820 11.2724:354999.0741:0.1043 11.3328:529519.0151:0.1108 11.4710:697591.3913:0.1250 11.6142:861129.0416:0.1368 11.7698:1019896.0010:0.1476 12.2876:1058100.2985:0.1634 12.3156:1137047.5726:0.1672 12.3416:1216706.2426:0.1702
5 11.1854:89434.8636:0.0832 11.2540:177722.0124:0.0846 11.2480:355688.1970:0.1026 11.3062:530769.9228:0.1168 11.5108:695251.7773:0.1285 11.6302:860097.4373:0.1448 11.5696:1037489.5098:0.1528 11.8252:1099753.2136:0.1469 12.0436:1162928.2574:0.1735 12.1802:1232304.4102:0.1919
6 11.1848:89408.9340:0.0817 11.1820:178859.9278:0.0940 11.4814:348436.3045:0.1022 11.2450:533585.7123:0.1223 11.5602:692268.8650:0.1334 11.5690:864631.3098:0.1491 11.6054:1034300.3776:0.1651 11.8722:1095548.5036:0.1627 11.9912:1168322.6928:0.1769 12.1320:1236629.0612:0.1860
7 11.2092:89213.9451:0.0860 11.2824:177277.3802:0.0965 11.3890:351293.7974:0.1122 11.3876:526980.0966:0.1209 11.7452:681986.1811:0.1316 11.4608:872668.2581:0.1477 11.8012:1017574.6685:0.1609 11.7712:1104721.2825:0.1682 11.8030:1186798.1486:0.1692 11.7364:1278300.4535:0.1685
8 11.3386:88197.2145:0.0908 11.4208:175127.4619:0.0965 11.2886:354343.6668:0.1153 11.6278:516707.9845:0.1307 11.5796:691031.9582:0.1413 11.4836:870841.9105:0.1529 11.6858:1027143.9927:0.1665 11.8664:1096156.7693:0.1728 11.9942:1167832.8569:0.1843 12.0320:1247554.6274:0.1924
9 11.4676:87202.3206:0.0959 11.4370:174875.9374:0.1036 11.5854:345308.3619:0.1185 11.6690:514292.7314:0.1295 11.5958:690043.2988:0.1472 11.6858:856107.8168:0.1580 11.7064:1025277.4491:0.1771 11.7788:1104099.0472:0.1776 12.0672:1160712.1070:0.1918 12.0412:1246449.5344:0.1911
10 11.7162:85353.2372:0.0994 11.7038:170892.9765:0.1076 11.7716:339826.5169:0.1273 11.8214:507610.2955:0.1365 11.8308:676311.7074:0.1483 11.9006:840430.5260:0.1644 11.9742:1002342.1020:0.1765 12.0564:1078835.8543:0.1778 12.2746:1141111.9356:0.1872 12.4102:1209388.2816:0.2105
12 11.9738:83515.9435:0.1034 12.0896:165445.4039:0.1045 12.1532:329244.1841:0.1194 12.1276:494798.0164:0.1340 12.0538:663754.2071:0.1485 12.1600:822510.4854:0.1615 12.2668:978540.5259:0.1886 12.2698:1059997.4100:0.1941 12.4196:1127751.9790:0.2085 12.5892:1191899.1087:0.2091
14 12.2048:81938.1862:0.1077 12.2824:162849.1562:0.1183 12.2828:325692.8519:0.1317 12.2904:488260.0895:0.1433 12.4826:641009.3780:0.1654 12.3032:812947.9694:0.1737 12.5308:957932.8491:0.1906 12.4550:1044124.6938:0.1879 12.6584:1106879.3854:0.1994 12.7510:1177003.9718:0.2321
16 12.5604:79621.3780:0.1227 12.5828:158956.4117:0.1335 12.6186:317017.1807:0.1419 12.7210:471710.5228:0.1681 12.7490:627578.6801:0.1747 12.7872:782265.8547:0.1969 12.9316:928376.8283:0.2124 12.9704:1002424.1885:0.2297 13.0636:1072039.8504:0.2449 13.2960:1130083.4780:0.2429
24 14.1768:70541.9774:0.1792 14.2130:140723.1531:0.1841 14.3320:279122.6327:0.2073 15.0040:400023.3066:0.2594 15.3750:520714.8565:0.2823 15.0068:666750.9486:0.2951 14.8988:805600.3298:0.2980 14.7488:881913.0988:0.2994 15.7630:891168.9279:0.3155 15.3298:978762.3821:0.3287
32 18.1614:55073.9320:0.3049 18.2076:109900.7153:0.3173 18.6570:214525.9749:0.3458 18.7230:320486.2423:0.3618 18.9620:421930.2756:0.3775 19.0960:523763.0857:0.4021 19.4272:618039.9876:0.4282 19.0280:683432.7167:0.4238 19.3386:724204.6244:0.4340 19.3318:776312.0831:0.4695
