parallelism 1000000-100000 2000000-200000 4000000-400000 6000000-600000 8000000-800000 10000000-1000000 12000000-1200000 13000000-1300000 14000000-1400000
1 10.6646:93771.7437:0.0614 10.7736:185651.7598:0.0616 10.7060:373622.7531:0.0753 10.7432:558500.5783:0.0819 10.7514:744091.5716:0.0883 10.9640:912117.6388:0.0953 12.9012:930605.9945:0.0932 13.9238:933817.2263:0.0938 14.7322:950556.1361:0.0930   
2 10.8736:91965.9375:0.0654 10.9666:182372.1858:0.0707 11.1280:359454.2794:0.0753 11.1694:537213.7762:0.0896 11.1356:718534.5975:0.0986 10.9834:910525.0489:0.1058 11.0198:1089075.2089:0.1180 11.0838:1172918.1396:0.1202 11.0690:1264882.4403:0.1249
3 10.8288:92346.5445:0.0742 10.9166:183216.9976:0.0750 10.9470:365427.4194:0.0864 10.8424:553383.4792:0.1036 10.8658:736256.4919:0.1093 10.9180:915923.7597:0.1185 10.9268:1098222.2162:0.1289 10.9552:1186662.9938:0.1305 10.9796:1275100.7763:0.1371
4 10.9168:91602.2490:0.0775 10.9216:183123.7285:0.0833 10.9590:364997.1694:0.0927 11.2706:532364.3697:0.0955 11.2148:713460.0934:0.1049 10.9642:912074.1744:0.1250 10.9518:1095713.8943:0.1342 11.0144:1180275.1452:0.1382 11.1880:1251707.0197:0.1350
5 10.9654:91196.0269:0.0788 10.9968:181872.0119:0.0846 11.0588:361739.1492:0.0962 11.2394:533924.8943:0.1031 11.0226:725782.4943:0.1190 11.1946:893371.6605:0.1335 11.4882:1044727.8967:0.1415 11.1114:1170038.7290:0.1490 11.4888:1218839.3096:0.1462
6 11.0680:90350.6911:0.0801 11.1622:179177.1080:0.0847 11.1146:359917.7177:0.0986 11.1208:539547.4413:0.1119 11.3694:703664.6873:0.1096 11.0692:903414.5334:0.1328 11.4420:1049145.7062:0.1419 11.2790:1153053.1860:0.1518 11.3952:1228851.6602:0.1749
7 11.1080:90025.5637:0.0830 11.1968:178626.4127:0.0853 11.1208:359686.7691:0.1057 11.2872:531632.6833:0.1116 11.2182:713253.5649:0.1334 11.3282:882977.3621:0.1351 11.2824:1064009.4349:0.1535 11.2928:1151513.4465:0.1565 11.4038:1228620.3360:0.1721
8 11.1878:89383.7848:0.0902 11.2268:178148.8542:0.0899 11.1598:358432.3812:0.1131 11.4104:525851.1984:0.1108 11.1862:715175.3230:0.1351 11.4602:872739.4662:0.1428 11.3750:1055343.4661:0.1594 11.5152:1129669.3348:0.1839 11.6062:1206899.4922:0.1685
9 11.2218:89112.5276:0.0869 11.2644:177556.9569:0.0925 11.2294:356210.3706:0.1098 11.3904:526847.4648:0.1208 11.3024:707861.7390:0.1322 11.4324:875052.7258:0.1394 11.4980:1043902.6212:0.1512 11.3408:1146515.5219:0.1559 11.3468:1234051.0073:0.1722
10 11.3048:88459.0538:0.0915 11.2922:177113.7110:0.0988 11.3554:352267.1124:0.1137 11.4158:525642.4948:0.1307 11.4120:701173.7257:0.1468 11.5044:869412.7569:0.1490 11.3988:1052962.9548:0.1519 11.4670:1133892.0424:0.1726 11.6114:1206487.4404:0.185
12 11.7112:85393.8604:0.1013 11.6570:171575.1174:0.1047 11.6952:342045.4999:0.1233 11.7604:510248.6654:0.1347 11.8206:676949.6541:0.1419 11.8694:842782.4200:0.1651 11.9284:1006219.2819:0.1667 11.9170:1091123.7392:0.1884 12.0270:1164345.2453:0.200
14 11.8158:84633.1247:0.0989 11.8138:169298.2897:0.1113 11.8768:336813.6863:0.1264 11.9538:501958.1719:0.1376 11.9636:668800.7495:0.1659 11.9076:839943.8235:0.1720 12.2490:980043.9120:0.1819 12.1194:1072931.7043:0.2083 12.1582:1152161.1503:0.2122
16 12.0084:83280.5146:0.1028 11.9744:167023.7368:0.1155 12.0884:330911.9745:0.1300 12.1156:495303.5542:0.1468 12.1856:656566.7927:0.1564 12.2794:814572.7564:0.1735 12.2964:976337.7926:0.1954 12.3080:1056450.5048:0.2095 12.4362:1126333.3132:0.2369
24 13.0684:76523.9872:0.1463 13.0582:153167.7169:0.1542 13.1204:304889.9979:0.1674 13.1698:455626.0469:0.1952 13.2550:603625.7383:0.2168 13.2886:752606.2651:0.2228 13.3978:895839.6318:0.2433 13.7710:944341.9030:0.2698 13.8468:1011250.6083:0.2838 
32 17.2802:57878.4512:0.3013 17.1614:116556.3683:0.3078 17.3942:229973.3687:0.3239 17.5816:341289.9501:0.3572 17.3964:459912.4613:0.3595 17.4004:574767.4748:0.3766 17.3978:690003.5753:0.3827 17.3880:747656.1028:0.4061 17.6538:793106.8654:0.4040  
