sourcedatagen1:.98448993126733389605;calc2:.72687808995538405884;watermarkassigner3:.50841070782587724587;minibatchassigner4:.52762872301941396358;calc5:.38895755456409019655;nexmarkq26writer:.00165802484022669721;
sourcedatagen1:.98307412161557061404;calc2:.73794740141496761097;watermarkassigner3:.52294098331293471446;minibatchassigner4:.55871817069166243768;calc5:.40245977491865428818;nexmarkq26writer:.00171646914833278605;
sourcedatagen1:.98408860230461520090;calc2:.71649053674846259478;watermarkassigner3:.50568690668099588035;minibatchassigner4:.52788226162755985431;calc5:.38433637829124126813;nexmarkq26writer:.00173144665353155412;
sourcedatagen1:.97304506528148252140;calc2:.68030324301558332163;watermarkassigner3:.47002667415414853292;minibatchassigner4:.49081847536150498385;calc5:.36202442790958865646;nexmarkq26writer:.00185315176189807665;
sourcedatagen1:.98117167356239131738;calc2:.71433711099118546501;watermarkassigner3:.50538166336871139893;minibatchassigner4:.52887209929843497031;calc5:.38509624033099478323;nexmarkq26writer:.00161899622234214786;
sourcedatagen1:.98112304424566966823;calc2:.71307625572142280192;watermarkassigner3:.50260268645107248631;minibatchassigner4:.52665509917132856672;calc5:.38898196069045980793;nexmarkq26writer:.00158554461961887097;
sourcedatagen1:.96482673336893285742;calc2:.68259745369719794272;watermarkassigner3:.47956774683117394114;minibatchassigner4:.49421039318737528456;calc5:.35881509794553272814;nexmarkq26writer:.00133498215339647564;
sourcedatagen1:.98064544966922939388;calc2:.72549019607843137254;watermarkassigner3:.50759878419452887537;minibatchassigner4:.52546337684009774122;calc5:.38724000238393229632;nexmarkq26writer:.00180284879909410572;
sourcedatagen1:.96789462852438773410;calc2:.70365742510216681856;watermarkassigner3:.50248434422132713962;minibatchassigner4:.52257960191691412107;calc5:.38141298915120689148;nexmarkq26writer:.00161702878311233939;
sourcedatagen1:.98315501592835246739;calc2:.73172747490533149005;watermarkassigner3:.51053375007513373805;minibatchassigner4:.53194686542044839814;calc5:.39362565366352106750;nexmarkq26writer:.00189337019895413836;
sourcedatagen1:.97961679576029351814;calc2:.70307495195387572069;watermarkassigner3:.49062372604973501834;minibatchassigner4:.50757090443189097897;calc5:.37454137790460660415;nexmarkq26writer:.00198008269757148680;
sourcedatagen1:.95495555085194200444;calc2:.64099375595301090062;watermarkassigner3:.44451793840618054820;minibatchassigner4:.46793311461530320668;calc5:.34051222351571594877;nexmarkq26writer:.00154778283416234522;
sourcedatagen1:.95307868687433588725;calc2:.70103741401487612549;watermarkassigner3:.47589620267322856663;minibatchassigner4:.49414182651976958783;calc5:.36281527878753984676;nexmarkq26writer:.00170572115653486941;
sourcedatagen1:.97898944963780095584;calc2:.73529411764705882352;watermarkassigner3:.51421743965854098409;minibatchassigner4:.52920135862214073161;calc5:.38794373140160509783;nexmarkq26writer:.00184856773572995882;
sourcedatagen1:.97900813434794017318;calc2:.70776115921746989708;watermarkassigner3:.49520394180588355345;minibatchassigner4:.51134143852590454532;calc5:.38071080789527391469;nexmarkq26writer:.00185136592903583194;
