sourcedatagen1:.94915557830092118730;calc2:.77095701125895598771;watermarkassigner3:.57620266120777891504;minibatchassigner4:.54199078812691914022;calc5:.49907881269191402251;nexmarkq26writer:.00301944728761514841;
sourcedatagen1:.92578381795195954487;calc2:.75463337547408343868;watermarkassigner3:.56780025284450063211;minibatchassigner4:.53280657395701643489;calc5:.49436788874841972187;nexmarkq26writer:.00365360303413400758;
sourcedatagen1:.94240383634323028262;calc2:.77972910927456382001;watermarkassigner3:.58332057953270074482;minibatchassigner4:.54220870319355167840;calc5:.50929114376084073053;nexmarkq26writer:.00330323436384042444;
sourcedatagen1:.92549166963876292861;calc2:.76541244204412289193;watermarkassigner3:.57480766291333367300;minibatchassigner4:.52753859479288734905;calc5:.50068145921434758241;nexmarkq26writer:.00437535028277373006;
sourcedatagen1:.92337846106776808933;calc2:.76456453011065218499;watermarkassigner3:.57054076793636224567;minibatchassigner4:.53322115139462546530;calc5:.50812044260873999286;nexmarkq26writer:.00305950741930549181;
sourcedatagen1:.91935320613391365959;calc2:.75523811933802317931;watermarkassigner3:.56772230376031175666;minibatchassigner4:.53004327142061845235;calc5:.49447087403208664406;nexmarkq26writer:.00348575332759755048;
sourcedatagen1:.93339589653931197614;calc2:.76649997428909343343;watermarkassigner3:.57323108962822029104;minibatchassigner4:.53687586774309662158;calc5:.50414588368385869285;nexmarkq26writer:.00347097238648634750;
sourcedatagen1:.92189908028834203330;calc2:.75047228436490181456;watermarkassigner3:.56254039274173502361;minibatchassigner4:.52616206810837683320;calc5:.48729182202336564752;nexmarkq26writer:.00285234899328859060;
sourcedatagen1:.90814501406226871268;calc2:.73525928849854443183;watermarkassigner3:.54829895889870232397;minibatchassigner4:.51641214782651601124;calc5:.47424384467360734198;nexmarkq26writer:.00278161543395667834;
sourcedatagen1:.92108347772907960452;calc2:.75714121903985322597;watermarkassigner3:.56163999592294363469;minibatchassigner4:.52636708796249108143;calc5:.49503745795535623279;nexmarkq26writer:.00283482825400061155;
sourcedatagen1:.91685013568173672623;calc2:.76093133992115099073;watermarkassigner3:.56886488147048282218;minibatchassigner4:.53129000051200655368;calc5:.50568327274589114740;nexmarkq26writer:.00340484358199784957;
sourcedatagen1:.94600331195457890863;calc2:.79171485648196824729;watermarkassigner3:.59298443907054988960;minibatchassigner4:.54229313426558721480;calc5:.52105456839449058984;nexmarkq26writer:.00525049942172221638;
sourcedatagen1:.91003787878787878787;calc2:.73353634383046147752;watermarkassigner3:.55019558328381857793;minibatchassigner4:.51989255298078827490;calc5:.47878292731233907704;nexmarkq26writer:.00269236482471776589;
sourcedatagen1:.90539328878844453178;calc2:.71646850741868920113;watermarkassigner3:.53494399135305099734;minibatchassigner4:.50798983000884347057;calc5:.46388302053650388130;nexmarkq26writer:.00265918247027611280;
sourcedatagen1:.93905671058048579662;calc2:.77938452037875668999;watermarkassigner3:.58249279538904899135;minibatchassigner4:.54643757719226018937;calc5:.51457003911074516261;nexmarkq26writer:.00338359407163441745;
