Scenario.hardware;Scenario.replic;Scenario.events;Scenario.rate;Simulated.FT.mean;Simulated.FT.std;Simulated.TP.mean;Simulated.TP.std;Real.FT.mean;Real.FT.std;Real.TP.mean;Real.TP.std
"1;32";1;1,000000e+06;1,000000e+05;10,520917;0,012306;9,504883e+04;1,114760e+02;10,528375;0,025884;9,498199e+04;2,332030e+02
"1;32";1;2,000000e+06;2,000000e+05;10,522200;0,000110;1,900744e+05;1,855000e+00;10,551875;0,077651;1,895499e+05;1,374678e+03
"1;32";1;3,000000e+06;3,000000e+05;10,526340;0,000049;2,849988e+05;7,480000e-01;10,515125;0,018871;2,853042e+05;5,112880e+02
"1;32";1;4,000000e+06;4,000000e+05;10,540000;0,000000;3,795068e+05;4,000000e-01;10,521125;0,042049;3,801935e+05;1,509250e+03
"1;32";1;5,000000e+06;5,000000e+05;10,522120;0,000040;4,751886e+05;4,900000e-01;10,506250;0,020468;4,759090e+05;9,267840e+02
"1;32";1;6,000000e+06;6,000000e+05;10,531600;0,000000;5,697146e+05;4,900000e-01;10,516625;0,010965;5,705259e+05;5,945250e+02
"1;32";1;7,000000e+06;7,000000e+05;10,522100;0,000000;6,652644e+05;4,900000e-01;10,506500;0,020006;6,662566e+05;1,267105e+03
"1;32";1;8,000000e+06;8,000000e+05;10,531600;0,000000;7,596196e+05;4,900000e-01;10,504750;0,013046;7,615614e+05;9,446280e+02
"1;32";1;9,000000e+06;9,000000e+05;10,526300;0,000000;8,549984e+05;4,900000e-01;10,509750;0,025143;8,563526e+05;2,043753e+03
"1;32";1;1,000000e+07;1,000000e+06;10,525300;0,000000;9,500926e+05;4,900000e-01;10,511500;0,011769;9,513402e+05;1,064586e+03
"1;32";1;1,000000e+08;1,000000e+07;65,861100;0,000071;1,518348e+06;4,330000e+00;68,166500;1,939622;1,468188e+06;4,188921e+04
"1;32";2;1,000000e+08;1,000000e+07;35,964012;0,000060;2,780558e+06;4,330000e+00;39,520700;1,764238;2,535360e+06;1,131057e+05
"1;32";4;1,000000e+08;1,000000e+07;24,798550;0,000166;4,032491e+06;2,619000e+01;25,545500;1,196656;3,923048e+06;1,807961e+05
"1;32";6;1,000000e+08;1,000000e+07;23,733000;0,000212;4,213540e+06;3,840600e+01;22,770100;0,953784;4,399222e+06;1,790615e+05
"1;32";8;1,000000e+08;1,000000e+07;22,622438;0,000524;4,420390e+06;1,014890e+02;22,861700;0,350453;4,375159e+06;6,729864e+04
"1;32";10;1,000000e+08;1,000000e+07;21,709500;0,031042;4,606289e+06;6,576541e+03;22,294000;0,414854;4,487048e+06;8,257992e+04
"1;32";12;1,000000e+08;1,000000e+07;22,644275;0,121682;4,416256e+06;2,370145e+04;22,479800;0,374056;4,449668e+06;7,391613e+04
"1;32";14;1,000000e+08;1,000000e+07;23,613387;0,063424;4,234918e+06;1,139506e+04;23,508500;0,380309;4,254878e+06;6,786453e+04
"1;32";16;1,000000e+08;1,000000e+07;24,599213;0,138243;4,065301e+06;2,294489e+04;23,807000;0,381643;4,201514e+06;6,667152e+04
"1;32";24;1,000000e+08;1,000000e+07;26,133712;0,056961;3,826491e+06;8,324517e+03;25,738300;0,298177;3,885788e+06;4,549534e+04
"1;32";32;1,000000e+08;1,000000e+07;27,483837;0,035476;3,638510e+06;4,694878e+03;27,104800;0,339117;3,689954e+06;4,564717e+04

Scenario;RMSE.Finishtime;RMSE.Throughput;Accuracy.Finishtime;Accuracy.Throughput
1-32-1-1000000-100000;0,026129;2,354406e+02;0,999292;0,999296
1-32-1-2000000-200000;0,083154;1,471394e+03;0,997188;0,997233
1-32-1-3000000-300000;0,021967;5,957286e+02;0,998933;0,998929
1-32-1-4000000-400000;0,046091;1,658182e+03;0,998206;0,998194
1-32-1-5000000-500000;0,025894;1,173936e+03;0,998489;0,998486
1-32-1-6000000-600000;0,018560;1,005630e+03;0,998576;0,998578
1-32-1-7000000-700000;0,025369;1,609516e+03;0,998515;0,998511
1-32-1-8000000-800000;0,029851;2,159641e+03;0,997444;0,997450
1-32-1-9000000-900000;0,030101;2,451710e+03;0,998425;0,998419
1-32-1-10000000-1000000;0,018137;1,639938e+03;0,998687;0,998689
1-32-1-100000000-10000000;3,012837;6,535196e+04;0,966180;0,965836
1-32-2-100000000-10000000;3,970211;2,700273e+05;0,910004;0,903289
1-32-4-100000000-10000000;1,410661;2,113428e+05;0,970760;0,972103
1-32-6-100000000-10000000;1,355320;2,579596e+05;0,957712;0,957792
1-32-8-100000000-10000000;0,424366;8,107661e+04;0,989534;0,989662
1-32-10-100000000-10000000;0,719210;1,455488e+05;0,973782;0,973426
1-32-12-100000000-10000000;0,436905;8,649301e+04;0,992683;0,992491
1-32-14-100000000-10000000;0,399912;7,303743e+04;0,995538;0,995309
1-32-16-100000000-10000000;0,898719;1,554793e+05;0,966724;0,967580
1-32-24-100000000-10000000;0,491669;7,402091e+04;0,984637;0,984740
1-32-32-100000000-10000000;0,515969;6,924356e+04;0,986016;0,986058
