Scenario.hardware;Scenario.replic;Scenario.events;Scenario.rate;Simulated.FT.mean;Simulated.FT.std;Simulated.TP.mean;Simulated.TP.std;Real.FT.mean;Real.FT.std;Real.TP.mean;Real.TP.std
"1;32";1;1,000000e+06;1,000000e+05;10,494320;0,000075;9,528970e+04;6,030000e-01;10,509250;0,022731;9,515471e+04;2,056920e+02
"1;32";1;2,000000e+06;2,000000e+05;10,490100;0,000063;1,906562e+05;7,480000e-01;10,499625;0,016278;1,904835e+05;2,955820e+02
"1;32";1;3,000000e+06;3,000000e+05;10,483780;0,000040;2,861566e+05;4,900000e-01;10,508250;0,019214;2,854909e+05;5,220660e+02
"1;32";1;4,000000e+06;4,000000e+05;10,484840;0,000049;3,815034e+05;8,000000e-01;10,509750;0,012122;3,805995e+05;4,386570e+02
"1;32";1;5,000000e+06;5,000000e+05;10,464920;0,000040;4,777860e+05;6,320000e-01;10,522375;0,028302;4,751813e+05;1,275552e+03
"1;32";1;6,000000e+06;6,000000e+05;10,485880;0,000040;5,721990e+05;8,940000e-01;10,516625;0,028744;5,705295e+05;1,553669e+03
"1;32";1;7,000000e+06;7,000000e+05;10,497360;0,000049;6,668346e+05;8,000000e-01;10,511500;0,012349;6,659382e+05;7,817670e+02
"1;32";1;8,000000e+06;8,000000e+05;10,493200;0,000000;7,623988e+05;1,939000e+00;10,518500;0,038164;7,605747e+05;2,745991e+03
"1;32";1;9,000000e+06;9,000000e+05;10,494200;0,000000;8,576154e+05;8,000000e-01;10,506375;0,017797;8,566252e+05;1,450759e+03
"1;32";1;1,000000e+07;1,000000e+06;10,494200;0,000000;9,529054e+05;1,200000e+00;10,519500;0,019786;9,506189e+05;1,787993e+03
"1;32";1;1,000000e+08;1,000000e+07;64,519813;0,000093;1,549910e+06;0,000000e+00;63,881133;0,975241;1,565771e+06;2,379108e+04
"1;32";2;1,000000e+08;1,000000e+07;35,218175;0,000109;2,839441e+06;9,270000e+00;34,047357;0,909419;2,939132e+06;7,661312e+04
"1;32";4;1,000000e+08;1,000000e+07;21,316913;0,000226;4,691108e+06;4,892600e+01;21,265067;0,984984;4,712624e+06;2,178709e+05
"1;32";6;1,000000e+08;1,000000e+07;20,537450;0,000343;4,943078e+06;7,578800e+01;19,794333;0,481528;5,054978e+06;1,244802e+05
"1;32";8;1,000000e+08;1,000000e+07;20,327525;0,000715;4,919441e+06;1,773020e+02;19,726667;0,350666;5,070877e+06;8,983585e+04
"1;32";10;1,000000e+08;1,000000e+07;18,835100;0,000890;5,306921e+06;2,747930e+02;19,546786;0,312704;5,117257e+06;8,291008e+04
"1;32";12;1,000000e+08;1,000000e+07;19,573388;0,072813;5,159132e+06;3,464239e+04;19,508200;0,186721;5,126515e+06;4,864176e+04
"1;32";14;1,000000e+08;1,000000e+07;19,652938;0,159136;5,088629e+06;4,083661e+04;19,705615;0,101406;5,074830e+06;2,617685e+04
"1;32";16;1,000000e+08;1,000000e+07;20,292950;0,098080;4,927931e+06;2,387994e+04;20,213733;0,104105;4,947263e+06;2,541415e+04
"1;32";24;1,000000e+08;1,000000e+07;21,738475;0,041648;4,600158e+06;8,822253e+03;22,166000;0,164025;4,511661e+06;3,338846e+04
"1;32";32;1,000000e+08;1,000000e+07;23,651375;0,100296;4,227332e+06;1,886775e+04;23,799267;0,165459;4,202013e+06;2,919076e+04

Scenario;RMSE.Finishtime;RMSE.Throughput;Accuracy.Finishtime;Accuracy.Throughput
1-32-1-1000000-100000;0,027187;2,459360e+02;0,998579;0,998581
1-32-1-2000000-200000;0,018836;3,422469e+02;0,999093;0,999093
1-32-1-3000000-300000;0,031127;8,459803e+02;0,997671;0,997668
1-32-1-4000000-400000;0,027708;1,004716e+03;0,997630;0,997625
1-32-1-5000000-500000;0,064050;2,900198e+03;0,994540;0,994519
1-32-1-6000000-600000;0,042090;2,280491e+03;0,997077;0,997074
1-32-1-7000000-700000;0,018772;1,189028e+03;0,998655;0,998654
1-32-1-8000000-800000;0,045789;3,297201e+03;0,997595;0,997602
1-32-1-9000000-900000;0,021563;1,756668e+03;0,998841;0,998844
1-32-1-10000000-1000000;0,032118;2,902432e+03;0,997595;0,997595
1-32-1-100000000-10000000;1,165768;2,859323e+04;0,990002;0,989870
1-32-2-100000000-10000000;1,482507;1,257283e+05;0,965612;0,966082
1-32-4-100000000-10000000;0,986336;2,189195e+05;0,997562;0,995434
1-32-6-100000000-10000000;0,885484;1,673843e+05;0,962458;0,977863
1-32-8-100000000-10000000;0,695798;1,760775e+05;0,969541;0,970136
1-32-10-100000000-10000000;0,777113;2,069614e+05;0,963591;0,962936
1-32-12-100000000-10000000;0,207630;7,400361e+04;0,996658;0,993638
1-32-14-100000000-10000000;0,205495;4,517314e+04;0,997327;0,997281
1-32-16-100000000-10000000;0,168548;4,234752e+04;0,996081;0,996093
1-32-24-100000000-10000000;0,459879;9,664744e+04;0,980713;0,980385
1-32-32-100000000-10000000;0,219658;4,225967e+04;0,993786;0,993974
