Scenario.hardware;Scenario.replic;Scenario.events;Scenario.rate;Simulated.FT.mean;Simulated.FT.std;Simulated.TP.mean;Simulated.TP.std;Real.FT.mean;Real.FT.std;Real.TP.mean;Real.TP.std
"1;32";1;1,000000e+06;1,000000e+05;10,571367;0,015012;9,459542e+04;1,346520e+02;10,616700;0,017939;9,419149e+04;1,587940e+02
"1;32";1;2,000000e+06;2,000000e+05;10,571620;0,000040;1,891858e+05;4,000000e-01;10,615900;0,025754;1,883978e+05;4,555260e+02
"1;32";1;3,000000e+06;3,000000e+05;10,574760;0,000049;2,836946e+05;4,900000e-01;10,612600;0,025164;2,826844e+05;6,685000e+02
"1;32";1;4,000000e+06;4,000000e+05;10,566320;0,000040;3,785608e+05;9,800000e-01;10,633900;0,021608;3,761571e+05;7,640660e+02
"1;32";1;5,000000e+06;5,000000e+05;10,570520;0,000040;4,730130e+05;6,320000e-01;10,632800;0,028684;4,702464e+05;1,269598e+03
"1;32";1;6,000000e+06;6,000000e+05;10,574720;0,000040;5,673896e+05;8,000000e-01;10,643100;0,043115;5,637547e+05;2,270050e+03
"1;32";1;7,000000e+06;7,000000e+05;10,569500;0,000000;6,622846e+05;8,000000e-01;10,646500;0,041190;6,575029e+05;2,542685e+03
"1;32";1;8,000000e+06;8,000000e+05;10,569500;0,000000;7,568964e+05;8,000000e-01;10,676200;0,035499;7,493386e+05;2,492759e+03
"1;32";1;9,000000e+06;9,000000e+05;10,574720;0,000040;8,510846e+05;8,000000e-01;10,675800;0,041706;8,430410e+05;3,290801e+03
"1;32";1;1,000000e+07;1,000000e+06;10,573700;0,000000;9,457428e+05;1,600000e+00;10,669000;0,041124;9,373089e+05;3,613289e+03
"1;32";1;1,000000e+08;1,000000e+07;72,832212;0,002150;1,373015e+06;3,968600e+01;79,711714;1,125113;1,254770e+06;1,767694e+04
"1;32";2;1,000000e+08;1,000000e+07;44,133187;0,007188;2,265869e+06;3,694400e+02;42,374000;2,042259;2,365002e+06;1,052323e+05
"1;32";4;1,000000e+08;1,000000e+07;30,940100;0,008198;3,232052e+06;8,592840e+02;27,589300;1,022649;3,629585e+06;1,347531e+05
"1;32";6;1,000000e+08;1,000000e+07;29,059438;0,008314;3,441224e+06;9,836790e+02;25,595000;0,413119;3,908036e+06;6,339354e+04
"1;32";8;1,000000e+08;1,000000e+07;27,876450;0,092012;3,587296e+06;1,179587e+04;24,715800;0,260663;4,046446e+06;4,281073e+04
"1;32";10;1,000000e+08;1,000000e+07;28,596037;0,346111;3,497502e+06;4,239150e+04;25,030500;0,261777;3,995561e+06;4,157091e+04
"1;32";12;1,000000e+08;1,000000e+07;29,801400;0,208116;3,355712e+06;2,351483e+04;25,325700;0,209968;3,948827e+06;3,247676e+04
"1;32";14;1,000000e+08;1,000000e+07;31,336100;0,399273;3,191715e+06;3,989447e+04;26,226300;0,230974;3,813260e+06;3,337452e+04
"1;32";16;1,000000e+08;1,000000e+07;32,556450;0,157527;3,071659e+06;1,494021e+04;26,839600;0,217358;3,726081e+06;3,003553e+04
"1;32";24;1,000000e+08;1,000000e+07;34,502188;0,101846;2,898390e+06;8,571232e+03;29,920500;0,241765;3,342408e+06;2,695769e+04
"1;32";32;1,000000e+08;1,000000e+07;36,532212;0,149150;2,737358e+06;1,115944e+04;33,169100;0,406459;3,015307e+06;3,696450e+04

Scenario;RMSE.Finishtime;RMSE.Throughput;Accuracy.Finishtime;Accuracy.Throughput
1-32-1-1000000-100000;0,048013;4,326951e+02;0,995730;0,995712
1-32-1-2000000-200000;0,051227;9,102033e+02;0,995829;0,995817
1-32-1-3000000-300000;0,045437;1,211472e+03;0,996434;0,996427
1-32-1-4000000-400000;0,070953;2,522415e+03;0,993645;0,993610
1-32-1-5000000-500000;0,068563;3,043777e+03;0,994143;0,994117
1-32-1-6000000-600000;0,080842;4,285522e+03;0,993575;0,993552
1-32-1-7000000-700000;0,087325;5,415774e+03;0,992768;0,992728
1-32-1-8000000-800000;0,112450;7,958284e+03;0,990006;0,989914
1-32-1-9000000-900000;0,109346;8,690840e+03;0,990532;0,990459
1-32-1-10000000-1000000;0,103794;9,175404e+03;0,991068;0,991002
1-32-1-100000000-10000000;7,151911;1,174579e+05;0,913695;0,905764
1-32-2-100000000-10000000;2,690741;1,444195e+05;0,958484;0,958083
1-32-4-100000000-10000000;3,502660;4,194649e+05;0,878547;0,890474
1-32-6-100000000-10000000;3,489416;4,712296e+05;0,864644;0,880551
1-32-8-100000000-10000000;3,185957;4,604841e+05;0,872120;0,886530
1-32-10-100000000-10000000;3,601229;5,009496e+05;0,857552;0,875347
1-32-12-100000000-10000000;4,480726;5,953714e+05;0,823274;0,849800
1-32-14-100000000-10000000;5,168042;6,275564e+05;0,805165;0,837004
1-32-16-100000000-10000000;5,723852;6,553615e+05;0,786999;0,824367
1-32-24-100000000-10000000;4,595338;4,469320e+05;0,846871;0,867156
1-32-32-100000000-10000000;3,396267;2,800912e+05;0,898607;0,907820
