Scenario.hardware;Scenario.replic;Scenario.events;Scenario.rate;Simulated.FT.mean;Simulated.FT.std;Simulated.TP.mean;Simulated.TP.std;Real.FT.mean;Real.FT.std;Real.TP.mean;Real.TP.std
"1;32";1;1,000000e+06;1,000000e+05;10,571367;0,015012;9,459542e+04;1,346520e+02;10,616700;0,017939;9,419149e+04;1,587940e+02
"1;32";1;2,000000e+06;2,000000e+05;10,571620;0,000040;1,891858e+05;4,000000e-01;10,615900;0,025754;1,883978e+05;4,555260e+02
"1;32";1;3,000000e+06;3,000000e+05;10,574760;0,000049;2,836946e+05;4,900000e-01;10,612600;0,025164;2,826844e+05;6,685000e+02
"1;32";1;4,000000e+06;4,000000e+05;10,566320;0,000040;3,785608e+05;9,800000e-01;10,633900;0,021608;3,761571e+05;7,640660e+02
"1;32";1;5,000000e+06;5,000000e+05;10,570520;0,000040;4,730130e+05;6,320000e-01;10,632800;0,028684;4,702464e+05;1,269598e+03
"1;32";1;6,000000e+06;6,000000e+05;10,574720;0,000040;5,673896e+05;8,000000e-01;10,643100;0,043115;5,637547e+05;2,270050e+03
"1;32";1;7,000000e+06;7,000000e+05;10,569500;0,000000;6,622846e+05;8,000000e-01;10,646500;0,041190;6,575029e+05;2,542685e+03
"1;32";1;8,000000e+06;8,000000e+05;10,569500;0,000000;7,568964e+05;8,000000e-01;10,676200;0,035499;7,493386e+05;2,492759e+03
"1;32";1;9,000000e+06;9,000000e+05;10,574720;0,000040;8,510846e+05;8,000000e-01;10,675800;0,041706;8,430410e+05;3,290801e+03
"1;32";1;1,000000e+07;1,000000e+06;10,573700;0,000000;9,457428e+05;1,600000e+00;10,669000;0,041124;9,373089e+05;3,613289e+03
"1;32";1;1,000000e+08;1,000000e+07;72,848330;0,014560;1,372716e+06;2,738690e+02;79,711714;1,125113;1,254770e+06;1,767694e+04
"1;32";2;1,000000e+08;1,000000e+07;41,063170;0,007680;2,435273e+06;4,550400e+02;42,374000;2,042259;2,365002e+06;1,052323e+05
"1;32";4;1,000000e+08;1,000000e+07;29,292940;0,010640;3,413791e+06;1,238616e+03;27,589300;1,022649;3,629585e+06;1,347531e+05
"1;32";6;1,000000e+08;1,000000e+07;26,878760;0,014228;3,720413e+06;1,966561e+03;25,595000;0,413119;3,908036e+06;6,339354e+04
"1;32";8;1,000000e+08;1,000000e+07;26,993220;0,062406;3,704654e+06;8,547927e+03;24,715800;0,260663;4,046446e+06;4,281073e+04
"1;32";10;1,000000e+08;1,000000e+07;27,497860;0,501805;3,637837e+06;6,531861e+04;25,030500;0,261777;3,995561e+06;4,157091e+04
"1;32";12;1,000000e+08;1,000000e+07;28,265600;0,276668;3,534520e+06;1,564600e+04;25,325700;0,209968;3,948827e+06;3,247676e+04
"1;32";14;1,000000e+08;1,000000e+07;28,518460;0,171091;3,466809e+06;2,423001e+04;26,226300;0,230974;3,813260e+06;3,337452e+04
"1;32";16;1,000000e+08;1,000000e+07;28,230440;0,141506;3,431412e+06;2,601181e+04;26,839600;0,217358;3,726081e+06;3,003553e+04
"1;32";24;1,000000e+08;1,000000e+07;31,541940;0,200297;3,170509e+06;2,021230e+04;29,920500;0,241765;3,342408e+06;2,695769e+04
"1;32";32;1,000000e+08;1,000000e+07;35,303390;0,087991;2,832606e+06;7,051567e+03;33,169100;0,406459;3,015307e+06;3,696450e+04

Scenario;RMSE.Finishtime;RMSE.Throughput;Accuracy.Finishtime;Accuracy.Throughput
1-32-1-1000000-100000;0,048007;4,454953e+02;0,995730;0,995712
1-32-1-2000000-200000;0,051228;9,102570e+02;0,995829;0,995817
1-32-1-3000000-300000;0,045448;1,211487e+03;0,996434;0,996427
1-32-1-4000000-400000;0,070958;2,522462e+03;0,993645;0,993610
1-32-1-5000000-500000;0,068570;3,044004e+03;0,994143;0,994117
1-32-1-6000000-600000;0,080844;4,285485e+03;0,993575;0,993552
1-32-1-7000000-700000;0,087325;5,415888e+03;0,992768;0,992728
1-32-1-8000000-800000;0,112450;7,958236e+03;0,990006;0,989914
1-32-1-9000000-900000;0,109348;8,690915e+03;0,990532;0,990459
1-32-1-10000000-1000000;0,103794;9,175609e+03;0,991068;0,991002
1-32-1-100000000-10000000;7,118590;1,198553e+05;0,913897;0,906002
1-32-2-100000000-10000000;2,424338;1,264074e+05;0,969065;0,970287
1-32-4-100000000-10000000;1,985373;2,542199e+05;0,938250;0,940546
1-32-6-100000000-10000000;1,350309;1,982937e+05;0,949843;0,951990
1-32-8-100000000-10000000;2,294870;3,448238e+05;0,907856;0,915533
1-32-10-100000000-10000000;2,556874;3,696429e+05;0,901426;0,910470
1-32-12-100000000-10000000;2,963932;4,159219e+05;0,883916;0,895081
1-32-14-100000000-10000000;2,308841;3,472139e+05;0,912601;0,909146
1-32-16-100000000-10000000;1,406584;2,974940e+05;0,948180;0,920917
1-32-24-100000000-10000000;1,655233;1,755565e+05;0,945808;0,948570
1-32-32-100000000-10000000;2,171238;1,862723e+05;0,935654;0,939409
