Scenario.hardware;Scenario.replic;Scenario.events;Scenario.rate;Simulated.FT.mean;Simulated.FT.std;Simulated.TP.mean;Simulated.TP.std;Real.FT.mean;Real.FT.std;Real.TP.mean;Real.TP.std
"1;32";1;1,000000e+06;1,000000e+05;10,669920;0,000040;9,372154e+04;2,420000e-01;10,932875;0,111767;9,147682e+04;9,358120e+02
"1;32";1;2,000000e+06;2,000000e+05;10,660340;0,000049;1,876110e+05;8,940000e-01;11,159375;0,175318;1,792658e+05;2,820097e+03
"1;32";1;3,000000e+06;3,000000e+05;10,657160;0,000049;2,815012e+05;4,000000e-01;11,404875;0,233396;2,631568e+05;5,442846e+03
"1;32";1;4,000000e+06;4,000000e+05;10,661400;0,000000;3,751852e+05;4,000000e-01;11,745625;0,346106;3,408512e+05;1,014272e+04
"1;32";1;5,000000e+06;5,000000e+05;10,652900;0,000000;4,693566e+05;4,900000e-01;12,093250;0,347884;4,138012e+05;1,207692e+04
"1;32";1;6,000000e+06;6,000000e+05;10,657100;0,000000;5,630030e+05;6,320000e-01;12,431125;0,386298;4,831304e+05;1,515639e+04
"1;32";1;7,000000e+06;7,000000e+05;10,656100;0,000000;6,569024e+05;4,900000e-01;12,711250;0,410550;5,512769e+05;1,807255e+04
"1;32";1;8,000000e+06;8,000000e+05;10,657140;0,006360;7,506704e+05;4,490010e+02;13,788625;0,882913;5,825254e+05;3,658272e+04
"1;32";1;9,000000e+06;9,000000e+05;10,658200;0,000000;8,444212e+05;7,480000e-01;13,559000;0,460607;6,645446e+05;2,293416e+04
"1;32";1;1,000000e+07;1,000000e+06;10,666700;0,000000;9,374974e+05;1,020000e+00;14,180750;0,815641;7,075249e+05;4,078692e+04
"1;32";1;1,500000e+07;1,500000e+06;15,038488;0,001030;9,974399e+05;6,718900e+01;20,676250;0,900726;7,268444e+05;3,156233e+04
"1;32";2;1,500000e+07;1,500000e+06;10,834500;0,001042;1,384466e+06;1,343440e+02;13,478800;0,605311;1,115053e+06;4,891832e+04
"1;32";4;1,500000e+07;1,500000e+06;10,012229;0,023173;1,498176e+06;3,462001e+03;12,233545;0,261038;1,226704e+06;2,658831e+04
"1;32";6;1,500000e+07;1,500000e+06;9,985464;0,025158;1,502192e+06;3,782264e+03;11,892000;0,146065;1,261542e+06;1,543806e+04
"1;32";8;1,500000e+07;1,500000e+06;10,011066;0,023494;1,498350e+06;3,514911e+03;11,839000;0,208512;1,267392e+06;2,230322e+04
"1;32";10;1,500000e+07;1,500000e+06;0,104051;0,000437;1,441621e+06;6,049955e+03;12,215273;0,318359;1,228798e+06;3,175203e+04
"1;32";12;1,500000e+07;1,500000e+06;10,474487;0,236730;1,402881e+06;2,256723e+04;12,600545;0,306921;1,191125e+06;2,874342e+04
"1;32";14;1,500000e+07;1,500000e+06;11,341575;0,111556;1,315504e+06;1,099437e+04;12,922909;0,410359;1,161902e+06;3,693363e+04
"1;32";16;1,500000e+07;1,500000e+06;12,141337;0,100889;1,235534e+06;1,020265e+04;13,286000;0,271692;1,129485e+06;2,332840e+04
"1;32";24;1,500000e+07;1,500000e+06;14,385625;0,098136;1,042756e+06;7,105470e+03;15,169455;0,387902;9,894953e+05;2,605325e+04
"1;32";32;1,500000e+07;1,500000e+06;18,497312;0,070789;8,109410e+05;3,102485e+03;18,837818;0,523927;7,968912e+05;2,232657e+04

Scenario;RMSE.Finishtime;RMSE.Throughput;Accuracy.Finishtime;Accuracy.Throughput
1-32-1-1000000-100000;0,285733;2,432020e+03;0,975948;0,975461
1-32-1-2000000-200000;0,528929;8,808827e+03;0,955281;0,953448
1-32-1-3000000-300000;0,783303;1,913485e+04;0,934439;0,930291
1-32-1-4000000-400000;1,138127;3,580094e+04;0,907691;0,899270
1-32-1-5000000-500000;1,481766;5,685299e+04;0,880896;0,865744
1-32-1-6000000-600000;1,815597;8,129791e+04;0,857292;0,834677
1-32-1-7000000-700000;2,095756;1,071606e+05;0,838320;0,808398
1-32-1-8000000-800000;3,221689;1,685340e+05;0,772894;0,711352
1-32-1-9000000-900000;2,937141;1,813329e+05;0,786061;0,729324
1-32-1-10000000-1000000;3,607467;2,335616e+05;0,752196;0,674962
1-32-1-15000000-1500000;5,709312;2,724324e+05;0,727331;0,627712
1-32-2-15000000-1500000;2,712667;2,738070e+05;0,803818;0,758386
1-32-4-15000000-1500000;2,239893;2,733196e+05;0,818424;0,778698
1-32-6-15000000-1500000;1,913252;2,407902e+05;0,839679;0,809241
1-32-8-15000000-1500000;1,837873;2,318122e+05;0,845601;0,817769
1-32-10-15000000-1500000;12,115461;2,153582e+05;0,008518;0,826804
1-32-12-15000000-1500000;2,139378;2,145850e+05;0,831273;0,822221
1-32-14-15000000-1500000;1,640113;1,570812e+05;0,877633;0,867801
1-32-16-15000000-1500000;1,193149;1,102093e+05;0,913844;0,906109
1-32-24-15000000-1500000;0,884601;5,878968e+04;0,948328;0,946174
1-32-32-15000000-1500000;0,617167;2,594084e+04;0,981924;0,982369
