Scenario.hardware;Scenario.replic;Scenario.events;Scenario.rate;Simulated.FT.mean;Simulated.FT.std;Simulated.TP.mean;Simulated.TP.std;Real.FT.mean;Real.FT.std;Real.TP.mean;Real.TP.std
"1;32";1;1,000000e+06;1,000000e+05;10,494320;0,000075;9,528970e+04;6,030000e-01;10,509250;0,022731;9,515471e+04;2,056920e+02
"1;32";1;2,000000e+06;2,000000e+05;10,490100;0,000063;1,906562e+05;7,480000e-01;10,499625;0,016278;1,904835e+05;2,955820e+02
"1;32";1;3,000000e+06;3,000000e+05;10,483780;0,000040;2,861566e+05;4,900000e-01;10,508250;0,019214;2,854909e+05;5,220660e+02
"1;32";1;4,000000e+06;4,000000e+05;10,484840;0,000049;3,815034e+05;8,000000e-01;10,509750;0,012122;3,805995e+05;4,386570e+02
"1;32";1;5,000000e+06;5,000000e+05;10,464920;0,000040;4,777860e+05;6,320000e-01;10,522375;0,028302;4,751813e+05;1,275552e+03
"1;32";1;6,000000e+06;6,000000e+05;10,485880;0,000040;5,721990e+05;8,940000e-01;10,516625;0,028744;5,705295e+05;1,553669e+03
"1;32";1;7,000000e+06;7,000000e+05;10,497360;0,000049;6,668346e+05;8,000000e-01;10,511500;0,012349;6,659382e+05;7,817670e+02
"1;32";1;8,000000e+06;8,000000e+05;10,493200;0,000000;7,623988e+05;1,939000e+00;10,518500;0,038164;7,605747e+05;2,745991e+03
"1;32";1;9,000000e+06;9,000000e+05;10,494200;0,000000;8,576154e+05;8,000000e-01;10,506375;0,017797;8,566252e+05;1,450759e+03
"1;32";1;1,000000e+07;1,000000e+06;10,494200;0,000000;9,529054e+05;1,200000e+00;10,519500;0,019786;9,506189e+05;1,787993e+03
"1;32";1;1,000000e+08;1,000000e+07;64,514100;0,000000;1,550050e+06;0,000000e+00;63,881133;0,975241;1,565771e+06;2,379108e+04
"1;32";2;1,000000e+08;1,000000e+07;36,014960;0,000049;2,776620e+06;0,000000e+00;34,047357;0,909419;2,939132e+06;7,661312e+04
"1;32";4;1,000000e+08;1,000000e+07;21,615980;0,000040;4,626206e+06;8,000000e+00;21,265067;0,984984;4,712624e+06;2,178709e+05
"1;32";6;1,000000e+08;1,000000e+07;19,636800;0,000000;5,092486e+06;8,000000e+00;19,613867;0,562344;5,102638e+06;1,466919e+05
"1;32";8;1,000000e+08;1,000000e+07;19,683920;0,000040;5,080280e+06;0,000000e+00;19,726667;0,350666;5,070877e+06;8,983585e+04
"1;32";10;1,000000e+08;1,000000e+07;18,346360;0,000080;5,450668e+06;1,600000e+01;19,546786;0,312704;5,117257e+06;8,291008e+04
"1;32";12;1,000000e+08;1,000000e+07;19,116540;0,005427;5,231078e+06;1,481937e+03;19,508200;0,186721;5,126515e+06;4,864176e+04
"1;32";14;1,000000e+08;1,000000e+07;19,804320;0,038620;5,049422e+06;9,834400e+03;19,705615;0,101406;5,074830e+06;2,617685e+04
"1;32";16;1,000000e+08;1,000000e+07;20,534240;0,045216;4,869944e+06;1,070155e+04;20,213733;0,104105;4,947263e+06;2,541415e+04
"1;32";24;1,000000e+08;1,000000e+07;22,190580;0,010774;4,506418e+06;2,186160e+03;22,166000;0,164025;4,511661e+06;3,338846e+04
"1;32";32;1,000000e+08;1,000000e+07;23,497320;0,013367;4,255802e+06;2,424322e+03;23,799267;0,165459;4,202013e+06;2,919076e+04

Scenario;RMSE.Finishtime;RMSE.Throughput;Accuracy.Finishtime;Accuracy.Throughput
1-32-1-1000000-100000;0,027182;2,459381e+02;0,998579;0,998581
1-32-1-2000000-200000;0,018858;3,421296e+02;0,999093;0,999093
1-32-1-3000000-300000;0,031130;8,461057e+02;0,997671;0,997668
1-32-1-4000000-400000;0,027697;1,004686e+03;0,997630;0,997625
1-32-1-5000000-500000;0,064049;2,900198e+03;0,994540;0,994519
1-32-1-6000000-600000;0,042088;2,280555e+03;0,997077;0,997074
1-32-1-7000000-700000;0,018775;1,189033e+03;0,998655;0,998654
1-32-1-8000000-800000;0,045789;3,297192e+03;0,997595;0,997602
1-32-1-9000000-900000;0,021563;1,756575e+03;0,998841;0,998844
1-32-1-10000000-1000000;0,032118;2,902681e+03;0,997595;0,997595
1-32-1-100000000-10000000;1,162644;2,851581e+04;0,990091;0,989960
1-32-2-100000000-10000000;2,167617;1,796652e+05;0,942210;0,944708
1-32-4-100000000-10000000;1,045628;2,343845e+05;0,983498;0,981662
1-32-6-100000000-10000000;0,562812;1,470420e+05;0,998831;0,998010
1-32-8-100000000-10000000;0,353267;9,032664e+04;0,997833;0,998146
1-32-10-100000000-10000000;1,240487;3,435662e+05;0,938587;0,934846
1-32-12-100000000-10000000;0,432676;1,153885e+05;0,979923;0,979604
1-32-14-100000000-10000000;0,138584;3,783703e+04;0,994991;0,994993
1-32-16-100000000-10000000;0,328141;8,292056e+04;0,984144;0,984371
1-32-24-100000000-10000000;0,162564;3,334475e+04;0,998891;0,998838
1-32-32-100000000-10000000;0,344409;6,130357e+04;0,987313;0,987199
