Scenario.hardware;Scenario.replic;Scenario.events;Scenario.rate;Simulated.FT.mean;Simulated.FT.std;Simulated.TP.mean;Simulated.TP.std;Real.FT.mean;Real.FT.std;Real.TP.mean;Real.TP.std
"1;32";1;1,000000e+06;1,000000e+05;10,560960;0,000080;9,468822e+04;8,630000e-01;10,566500;0,018782;9,463902e+04;1,683070e+02
"1;32";1;2,000000e+06;2,000000e+05;10,557720;0,000040;1,894346e+05;8,000000e-01;10,559875;0,017460;1,893967e+05;3,131390e+02
"1;32";1;3,000000e+06;3,000000e+05;10,565100;0,000000;2,839543e+05;9,430000e-01;10,562000;0,022254;2,840384e+05;5,973500e+02
"1;32";1;4,000000e+06;4,000000e+05;10,561900;0,000000;3,787194e+05;4,900000e-01;10,551000;0,011937;3,791115e+05;4,289180e+02
"1;32";1;5,000000e+06;5,000000e+05;10,559820;0,000040;4,734928e+05;9,800000e-01;10,557125;0,015012;4,736147e+05;6,733030e+02
"1;32";1;6,000000e+06;6,000000e+05;10,555600;0,000000;5,684188e+05;7,480000e-01;10,556625;0,016807;5,683649e+05;9,037390e+02
"1;32";1;7,000000e+06;7,000000e+05;10,559800;0,000000;6,628916e+05;4,900000e-01;10,568250;0,017761;6,623632e+05;1,114155e+03
"1;32";1;8,000000e+06;8,000000e+05;10,556640;0,000049;7,578164e+05;8,000000e-01;10,564875;0,019323;7,572287e+05;1,384917e+03
"1;32";1;9,000000e+06;9,000000e+05;10,559800;0,000000;8,522888e+05;4,000000e-01;10,557000;0,016401;8,525170e+05;1,322528e+03
"1;32";1;1,000000e+07;1,000000e+06;10,564000;0,000000;9,466106e+05;4,900000e-01;10,559250;0,016836;9,470394e+05;1,509736e+03
"1;32";1;1,000000e+08;1,000000e+07;75,671500;0,000000;1,321500e+06;0,000000e+00;76,426000;1,731455;1,309135e+06;3,002688e+04
"1;32";2;1,000000e+08;1,000000e+07;46,993000;0,000581;2,127975e+06;2,645800e+01;45,254500;0,902651;2,210607e+06;4,420231e+04
"1;32";4;1,000000e+08;1,000000e+07;31,732575;0,000833;3,151335e+06;8,154800e+01;31,156714;0,960663;3,212586e+06;9,746424e+04
"1;32";6;1,000000e+08;1,000000e+07;28,933563;0,001192;3,456194e+06;1,432600e+02;29,296250;0,657848;3,415150e+06;7,765771e+04
"1;32";8;1,000000e+08;1,000000e+07;27,645812;0,003530;3,617182e+06;4,620540e+02;28,461750;0,694674;3,515589e+06;8,614325e+04
"1;32";10;1,000000e+08;1,000000e+07;26,683350;0,058633;3,747674e+06;8,218179e+03;27,541000;0,968218;3,635293e+06;1,236264e+05
"1;32";12;1,000000e+08;1,000000e+07;26,480900;0,075180;3,776338e+06;1,067146e+04;27,240500;0,405644;3,671817e+06;5,455135e+04
"1;32";14;1,000000e+08;1,000000e+07;27,814925;0,130466;3,595270e+06;1,686364e+04;27,895625;0,702442;3,587026e+06;8,873480e+04
"1;32";16;1,000000e+08;1,000000e+07;27,816713;0,186608;3,595124e+06;2,398475e+04;29,161875;0,575619;3,430466e+06;6,744067e+04
"1;32";24;1,000000e+08;1,000000e+07;31,893788;0,053248;3,135418e+06;5,229803e+03;31,286500;0,475851;3,196991e+06;4,760718e+04
"1;32";32;1,000000e+08;1,000000e+07;36,304500;0,067923;2,754491e+06;5,152893e+03;35,049000;0,517154;2,853767e+06;4,189397e+04

Scenario;RMSE.Finishtime;RMSE.Throughput;Accuracy.Finishtime;Accuracy.Throughput
1-32-1-1000000-100000;0,019584;1,753397e+02;0,999476;0,999480
1-32-1-2000000-200000;0,017591;3,153837e+02;0,999796;0,999800
1-32-1-3000000-300000;0,022469;6,034765e+02;0,999706;0,999704
1-32-1-4000000-400000;0,016165;5,810891e+02;0,998967;0,998966
1-32-1-5000000-500000;0,015269;6,847496e+02;0,999745;0,999743
1-32-1-6000000-600000;0,016838;9,051801e+02;0,999903;0,999905
1-32-1-7000000-700000;0,019668;1,233267e+03;0,999200;0,999202
1-32-1-8000000-800000;0,021010;1,504523e+03;0,999221;0,999224
1-32-1-9000000-900000;0,016639;1,342054e+03;0,999735;0,999732
1-32-1-10000000-1000000;0,017493;1,569467e+03;0,999550;0,999547
1-32-1-100000000-10000000;1,888705;3,247301e+04;0,990128;0,990555
1-32-2-100000000-10000000;1,958780;9,370735e+04;0,961584;0,962620
1-32-4-100000000-10000000;1,102417;1,085508e+05;0,981517;0,980934
1-32-6-100000000-10000000;0,751357;8,785801e+04;0,987620;0,987982
1-32-8-100000000-10000000;1,071298;1,331598e+05;0,971332;0,971102
1-32-10-100000000-10000000;1,257560;1,621994e+05;0,968859;0,969086
1-32-12-100000000-10000000;0,865926;1,185618e+05;0,972115;0,971534
1-32-14-100000000-10000000;0,734873;9,262939e+04;0,997107;0,997702
1-32-16-100000000-10000000;1,513462;1,843382e+05;0,953873;0,952001
1-32-24-100000000-10000000;0,776969;7,835803e+04;0,980589;0,980740
1-32-32-100000000-10000000;1,358379;1,077665e+05;0,964179;0,965213
