Scenario.hardware;Scenario.replic;Scenario.events;Scenario.rate;Simulated.FT.mean;Simulated.FT.std;Simulated.TP.mean;Simulated.TP.std;Real.FT.mean;Real.FT.std;Real.TP.mean;Real.TP.std
"1;32";1;1,000000e+06;1,000000e+05;10,346180;0,000160;9,665410e+04;1,292000e+00;10,901400;0,122370;9,174287e+04;1,027495e+03
"1;32";1;2,000000e+06;2,000000e+05;10,335820;0,000117;1,935012e+05;1,939000e+00;11,171300;0,172922;1,790728e+05;2,752647e+03
"1;32";1;3,000000e+06;3,000000e+05;10,333700;0,000110;2,903126e+05;2,332000e+00;11,447900;0,225917;2,621601e+05;5,235167e+03
"1;32";1;4,000000e+06;4,000000e+05;10,334700;0,000000;3,870460e+05;6,320000e-01;11,811200;0,310053;3,388995e+05;9,063970e+03
"1;32";1;5,000000e+06;5,000000e+05;10,332600;0,000000;4,839036e+05;8,000000e-01;12,017700;0,278357;4,162801e+05;9,807327e+03
"1;32";1;6,000000e+06;6,000000e+05;10,333620;0,000040;5,806272e+05;1,166000e+00;12,582100;0,432908;4,774230e+05;1,615009e+04
"1;32";1;7,000000e+06;7,000000e+05;10,335740;0,000049;6,772620e+05;2,098000e+00;12,912400;0,541343;5,430691e+05;2,278774e+04
"1;32";1;8,000000e+06;8,000000e+05;10,331600;0,000000;7,743234e+05;1,625000e+00;15,222500;3,793302;5,489519e+05;9,593037e+04
"1;32";1;9,000000e+06;9,000000e+05;10,336740;0,000049;8,706796e+05;1,855000e+00;14,380300;1,068541;6,293037e+05;4,656960e+04
"1;32";1;1,000000e+07;1,000000e+06;10,582980;0,000040;9,449150e+05;1,414000e+00;14,571444;1,474645;6,927448e+05;6,416486e+04
"1;32";1;1,500000e+07;1,500000e+06;15,521840;0,000539;9,663790e+05;3,526500e+01;20,676250;0,900726;7,268444e+05;3,156233e+04
"1;32";2;1,500000e+07;1,500000e+06;9,997882;0,029940;1,500330e+06;4,493306e+03;13,478800;0,605311;1,115053e+06;4,891832e+04
"1;32";4;1,500000e+07;1,500000e+06;10,016154;0,019332;1,497588e+06;2,883244e+03;12,233545;0,261038;1,226704e+06;2,658831e+04
"1;32";6;1,500000e+07;1,500000e+06;9,995600;0,025672;1,500670e+06;3,868716e+03;11,892000;0,146065;1,261542e+06;1,543806e+04
"1;32";8;1,500000e+07;1,500000e+06;9,999990;0,015478;1,500006e+06;2,321686e+03;11,839000;0,208512;1,267392e+06;2,230322e+04
"1;32";10;1,500000e+07;1,500000e+06;10,052240;0,020446;1,492208e+06;3,039601e+03;12,215273;0,318359;1,228798e+06;3,175203e+04
"1;32";12;1,500000e+07;1,500000e+06;11,041320;0,033090;1,358544e+06;4,066008e+03;12,600545;0,306921;1,191125e+06;2,874342e+04
"1;32";14;1,500000e+07;1,500000e+06;11,155440;0,020134;1,344640e+06;2,429815e+03;12,922909;0,410359;1,161902e+06;3,693363e+04
"1;32";16;1,500000e+07;1,500000e+06;11,183380;0,082491;1,341350e+06;9,823246e+03;13,286000;0,271692;1,129485e+06;2,332840e+04
"1;32";24;1,500000e+07;1,500000e+06;12,744280;0,082851;1,177052e+06;7,614017e+03;15,169455;0,387902;9,894953e+05;2,605325e+04
"1;32";32;1,500000e+07;1,500000e+06;17,171120;0,074694;8,735766e+05;3,789268e+03;18,837818;0,523927;7,968912e+05;2,232657e+04

Scenario;RMSE.Finishtime;RMSE.Throughput;Accuracy.Finishtime;Accuracy.Throughput
1-32-1-1000000-100000;0,568536;5,017698e+03;0,949069;0,946467
1-32-1-2000000-200000;0,853176;1,468906e+04;0,925212;0,919427
1-32-1-3000000-300000;1,136863;2,863569e+04;0,902672;0,892613
1-32-1-4000000-400000;1,508703;4,899219e+04;0,874992;0,857933
1-32-1-5000000-500000;1,707936;6,833103e+04;0,859782;0,837553
1-32-1-6000000-600000;2,289778;1,044601e+05;0,821295;0,783831
1-32-1-7000000-700000;2,632921;1,361138e+05;0,800451;0,752899
1-32-1-8000000-800000;6,189511;2,449390e+05;0,678706;0,589451
1-32-1-9000000-900000;4,182364;2,458272e+05;0,718813;0,616440
1-32-1-10000000-1000000;4,252347;2,602057e+05;0,726282;0,635984
1-32-1-15000000-1500000;5,232608;2,415970e+05;0,750709;0,670446
1-32-2-15000000-1500000;3,528043;3,874020e+05;0,741749;0,654477
1-32-4-15000000-1500000;2,235822;2,720846e+05;0,818745;0,779177
1-32-6-15000000-1500000;1,900691;2,402007e+05;0,840531;0,810448
1-32-8-15000000-1500000;1,849109;2,338302e+05;0,844665;0,816462
1-32-10-15000000-1500000;2,190834;2,657852e+05;0,822924;0,785636
1-32-12-15000000-1500000;1,588414;1,698209e+05;0,876257;0,859444
1-32-14-15000000-1500000;1,810254;1,865664e+05;0,863230;0,842725
1-32-16-15000000-1500000;2,117412;2,138660e+05;0,841742;0,812423
1-32-24-15000000-1500000;2,475790;1,886743e+05;0,840128;0,810452
1-32-32-15000000-1500000;1,734171;7,961173e+04;0,911524;0,903769
