Scenario.hardware;Scenario.replic;Scenario.events;Scenario.rate;Simulated.FT.mean;Simulated.FT.std;Simulated.TP.mean;Simulated.TP.std;Real.FT.mean;Real.FT.std;Real.TP.mean;Real.TP.std
"1;32";1;1,000000e+06;1,000000e+05;10,496620;0,000117;9,526894e+04;1,139000e+00;10,528375;0,025884;9,498199e+04;2,332030e+02
"1;32";1;2,000000e+06;2,000000e+05;10,485000;0,000000;1,907488e+05;4,330000e-01;10,551875;0,077651;1,895499e+05;1,374678e+03
"1;32";1;3,000000e+06;3,000000e+05;10,492300;0,000000;2,859240e+05;0,000000e+00;10,515125;0,018871;2,853042e+05;5,112880e+02
"1;32";1;4,000000e+06;4,000000e+05;10,488140;0,000049;3,813838e+05;7,480000e-01;10,521125;0,042049;3,801935e+05;1,509250e+03
"1;32";1;5,000000e+06;5,000000e+05;10,488100;0,000000;4,767298e+05;9,800000e-01;10,506250;0,020468;4,759090e+05;9,267840e+02
"1;32";1;6,000000e+06;6,000000e+05;10,494400;0,000000;5,717338e+05;4,000000e-01;10,516625;0,010965;5,705259e+05;5,945250e+02
"1;32";1;7,000000e+06;7,000000e+05;10,483900;0,000000;6,676886e+05;4,900000e-01;10,506500;0,020006;6,662566e+05;1,267105e+03
"1;32";1;8,000000e+06;8,000000e+05;10,487060;0,000049;7,628452e+05;7,480000e-01;10,504750;0,013046;7,615614e+05;9,446280e+02
"1;32";1;9,000000e+06;9,000000e+05;10,481800;0,000000;8,586288e+05;4,000000e-01;10,509750;0,025143;8,563526e+05;2,043753e+03
"1;32";1;1,000000e+07;1,000000e+06;10,485000;0,000000;9,537464e+05;8,000000e-01;10,511500;0,011769;9,513402e+05;1,064586e+03
"1;32";1;1,000000e+08;1,000000e+07;68,003800;0,000000;1,470510e+06;0,000000e+00;68,338353;1,828104;1,464360e+06;3,938189e+04
"1;32";2;1,000000e+08;1,000000e+07;41,709000;0,000000;2,397560e+06;0,000000e+00;39,448867;2,038406;2,541837e+06;1,339626e+05
"1;32";4;1,000000e+08;1,000000e+07;22,684820;0,000040;4,408234e+06;4,899000e+00;22,287857;0,530530;4,489316e+06;1,079054e+05
"1;32";6;1,000000e+08;1,000000e+07;21,976300;0,000000;4,550358e+06;4,000000e+00;21,501000;0,554300;4,653981e+06;1,177526e+05
"1;32";8;1,000000e+08;1,000000e+07;22,999860;0,000049;4,347848e+06;9,798000e+00;21,601286;0,314339;4,630334e+06;6,732627e+04
"1;32";10;1,000000e+08;1,000000e+07;20,141120;0,003173;4,964966e+06;7,869330e+02;21,254231;0,213242;4,705420e+06;4,724874e+04
"1;32";12;1,000000e+08;1,000000e+07;20,285560;0,011455;4,929620e+06;2,791437e+03;21,763100;0,138087;4,595119e+06;2,918753e+04
"1;32";14;1,000000e+08;1,000000e+07;20,799980;0,019506;4,807700e+06;4,505441e+03;22,215692;0,081883;4,501384e+06;1,660321e+04
"1;32";16;1,000000e+08;1,000000e+07;21,916880;0,033290;4,562704e+06;6,940641e+03;22,791154;0,069536;4,387708e+06;1,343593e+04
"1;32";24;1,000000e+08;1,000000e+07;24,117540;0,017716;4,146362e+06;3,048865e+03;24,344182;0,117149;4,107853e+06;1,984265e+04
"1;32";32;1,000000e+08;1,000000e+07;26,727460;0,012067;3,741476e+06;1,692579e+03;25,860438;0,168034;3,867074e+06;2,510343e+04

Scenario;RMSE.Finishtime;RMSE.Throughput;Accuracy.Finishtime;Accuracy.Throughput
1-32-1-1000000-100000;0,041035;3,702554e+02;0,996984;0,996979
1-32-1-2000000-200000;0,102479;1,824118e+03;0,993662;0,993675
1-32-1-3000000-300000;0,029616;8,034483e+02;0,997829;0,997828
1-32-1-4000000-400000;0,053448;1,922046e+03;0,996865;0,996869
1-32-1-5000000-500000;0,027356;1,237769e+03;0,998272;0,998275
1-32-1-6000000-600000;0,024783;1,346141e+03;0,997887;0,997883
1-32-1-7000000-700000;0,030183;1,912157e+03;0,997849;0,997851
1-32-1-8000000-800000;0,021984;1,593837e+03;0,998316;0,998314
1-32-1-9000000-900000;0,037595;3,059209e+03;0,997341;0,997342
1-32-1-10000000-1000000;0,028996;2,631041e+03;0,997479;0,997471
1-32-1-100000000-10000000;1,858465;3,985917e+04;0,995104;0,995800
1-32-2-100000000-10000000;3,043567;1,968800e+05;0,942707;0,943239
1-32-4-100000000-10000000;0,662592;1,349729e+05;0,982189;0,981939
1-32-6-100000000-10000000;0,730177;1,568554e+05;0,977894;0,977735
1-32-8-100000000-10000000;1,433459;2,903969e+05;0,935255;0,938992
1-32-10-100000000-10000000;1,133758;2,638017e+05;0,947629;0,944841
1-32-12-100000000-10000000;1,481054;3,350306e+05;0,932108;0,927205
1-32-14-100000000-10000000;1,416022;3,061944e+05;0,936274;0,931951
1-32-16-100000000-10000000;0,876890;1,749131e+05;0,961640;0,960117
1-32-24-100000000-10000000;0,254817;4,296763e+04;0,990690;0,990626
1-32-32-100000000-10000000;0,884675;1,277434e+05;0,966473;0,967521
