Scenario.hardware;Scenario.replic;Scenario.events;Scenario.rate;Simulated.FT.mean;Simulated.FT.std;Simulated.TP.mean;Simulated.TP.std;Real.FT.mean;Real.FT.std;Real.TP.mean;Real.TP.std
"1;32";1;1,000000e+06;1,000000e+05;10,698140;0,000049;9,347426e+04;2,730000e-01;10,700000;0,072414;9,346222e+04;6,317790e+02
"1;32";1;2,000000e+06;2,000000e+05;10,705520;0,000040;1,868190e+05;0,000000e+00;10,777375;0,084847;1,855855e+05;1,461734e+03
"1;32";1;3,000000e+06;3,000000e+05;10,701300;0,000000;2,803408e+05;4,000000e-01;10,811125;0,142577;2,775402e+05;3,656808e+03
"1;32";1;4,000000e+06;4,000000e+05;10,693800;0,000000;3,740480e+05;0,000000e+00;10,797750;0,124340;3,704964e+05;4,243042e+03
"1;32";1;5,000000e+06;5,000000e+05;10,702320;0,000040;4,671872e+05;7,480000e-01;10,911750;0,112029;4,582698e+05;4,694183e+03
"1;32";1;6,000000e+06;6,000000e+05;10,699100;0,000000;5,607930e+05;0,000000e+00;10,969500;0,125727;5,470422e+05;6,201911e+03
"1;32";1;7,000000e+06;7,000000e+05;10,702300;0,000000;6,540628e+05;4,000000e-01;10,984375;0,114460;6,373377e+05;6,609049e+03
"1;32";1;8,000000e+06;8,000000e+05;10,693800;0,000000;7,480960e+05;8,940000e-01;10,972500;0,079385;7,291336e+05;5,264439e+03
"1;32";1;9,000000e+06;9,000000e+05;10,710900;0,000000;8,402684e+05;4,900000e-01;11,038000;0,201661;8,156341e+05;1,472747e+04
"1;32";1;1,000000e+07;1,000000e+06;10,779100;0,000000;9,277212e+05;7,480000e-01;11,298875;0,213163;8,853560e+05;1,654658e+04
"1;32";1;1,500000e+07;1,500000e+06;15,521840;0,000539;9,663790e+05;3,526500e+01;15,816111;0,328160;9,488099e+05;1,975872e+04
"1;32";2;1,500000e+07;1,500000e+06;9,997882;0,029940;1,500330e+06;4,493306e+03;11,282125;0,244725;1,330167e+06;2,906103e+04
"1;32";4;1,500000e+07;1,500000e+06;10,016154;0,019332;1,497588e+06;2,883244e+03;11,307375;0,260101;1,327271e+06;3,058549e+04
"1;32";6;1,500000e+07;1,500000e+06;9,995600;0,025672;1,500670e+06;3,868716e+03;11,498000;0,216313;1,305041e+06;2,478120e+04
"1;32";8;1,500000e+07;1,500000e+06;9,999990;0,015478;1,500006e+06;2,321686e+03;11,530125;0,268382;1,301645e+06;3,027804e+04
"1;32";10;1,500000e+07;1,500000e+06;10,052240;0,020446;1,492208e+06;3,039601e+03;11,937500;0,149081;1,256744e+06;1,600909e+04
"1;32";12;1,500000e+07;1,500000e+06;11,041320;0,033090;1,358544e+06;4,066008e+03;12,068125;0,302522;1,243726e+06;3,119575e+04
"1;32";14;1,500000e+07;1,500000e+06;11,155440;0,020134;1,344640e+06;2,429815e+03;12,116625;0,272784;1,238583e+06;2,729560e+04
"1;32";16;1,500000e+07;1,500000e+06;11,183380;0,082491;1,341350e+06;9,823246e+03;12,496375;0,368900;1,201384e+06;3,509381e+04
"1;32";24;1,500000e+07;1,500000e+06;12,744280;0,082851;1,177052e+06;7,614017e+03;13,359600;0,059136;1,122810e+06;4,939977e+03
"1;32";32;1,500000e+07;1,500000e+06;17,171120;0,074694;8,735766e+05;3,789268e+03;17,350167;0,345132;8,648888e+05;1,728693e+04

Scenario;RMSE.Finishtime;RMSE.Throughput;Accuracy.Finishtime;Accuracy.Throughput
1-32-1-1000000-100000;0,072425;6,318208e+02;0,999826;0,999871
1-32-1-2000000-200000;0,111170;1,912669e+03;0,993333;0,993353
1-32-1-3000000-300000;0,179971;4,606116e+03;0,989841;0,989909
1-32-1-4000000-400000;0,162068;5,533284e+03;0,990373;0,990414
1-32-1-5000000-500000;0,237507;1,007745e+04;0,980807;0,980541
1-32-1-6000000-600000;0,298200;1,508468e+04;0,975350;0,974863
1-32-1-7000000-700000;0,304413;1,798353e+04;0,974320;0,973758
1-32-1-8000000-800000;0,289786;1,967978e+04;0,974600;0,973993
1-32-1-9000000-900000;0,384268;2,870102e+04;0,970366;0,969797
1-32-1-10000000-1000000;0,561787;4,548177e+04;0,953998;0,952149
1-32-1-15000000-1500000;0,440643;2,643972e+04;0,981394;0,981483
1-32-2-15000000-1500000;1,311746;1,726612e+05;0,886170;0,872074
1-32-4-15000000-1500000;1,317710;1,728593e+05;0,885807;0,871679
1-32-6-15000000-1500000;1,522696;1,970345e+05;0,869334;0,850097
1-32-8-15000000-1500000;1,558537;2,009885e+05;0,867292;0,847607
1-32-10-15000000-1500000;1,891743;2,358231e+05;0,842072;0,812640
1-32-12-15000000-1500000;1,072106;1,190573e+05;0,914916;0,907682
1-32-14-15000000-1500000;0,995885;1,095916e+05;0,920672;0,914372
1-32-16-15000000-1500000;1,340660;1,436452e+05;0,894930;0,883496
1-32-24-15000000-1500000;0,623500;5,497721e+04;0,953942;0,951691
1-32-32-15000000-1500000;0,381084;1,890438e+04;0,989680;0,989955
