sourcedatagen1:.86634620341254703850;calc2:.77387150540405862845;watermarkassigner3:.59727305531212949121;minibatchassigner4:.52727803838685842912;calc5:.53980875302850662405;nexmarkq26writer:.00664123580253277660;
sourcedatagen1:.87880038519741367450;calc2:.77818475718805888017;watermarkassigner3:.59902066996835878387;minibatchassigner4:.52731204429770257256;calc5:.53123710276516714816;nexmarkq26writer:.00640562663364974549;
sourcedatagen1:.87612298636926889714;calc2:.77124638579099545642;watermarkassigner3:.59004973840011014732;minibatchassigner4:.51830768965992014319;calc5:.52433137133415943824;nexmarkq26writer:.00643243150213410436;
sourcedatagen1:.87796974385422038851;calc2:.77949544438714113804;watermarkassigner3:.60317603575726319408;minibatchassigner4:.53609248753653085783;calc5:.53992607873474299467;nexmarkq26writer:.00860409145607701564;
sourcedatagen1:.86743418231712546093;calc2:.76936369093559729011;watermarkassigner3:.59327673441385815967;minibatchassigner4:.51967670011148272017;calc5:.52647714604236343366;nexmarkq26writer:.00660749506903353057;
sourcedatagen1:.87045209626930774362;calc2:.76727219855972357640;watermarkassigner3:.58912351824293118489;minibatchassigner4:.51933340175501616462;calc5:.52244658832383982484;nexmarkq26writer:.00608097706163083081;
sourcedatagen1:.86691498167198770249;calc2:.76391915403976418520;watermarkassigner3:.57904272031622155779;minibatchassigner4:.50611496815824591631;calc5:.51206101454416459737;nexmarkq26writer:.00636412777242858832;
sourcedatagen1:.86455596201075102615;calc2:.76811874216428804506;watermarkassigner3:.59349185085956686760;minibatchassigner4:.51990914867673072629;calc5:.52589863808885912033;nexmarkq26writer:.00595084754495337214;
sourcedatagen1:.87218865817129512108;calc2:.76509113062902980149;watermarkassigner3:.58035064561439136247;minibatchassigner4:.50844460239291939550;calc5:.51460882367873280194;nexmarkq26writer:.00646883620179045878;
sourcedatagen1:.88276901869561471525;calc2:.77886189368484535194;watermarkassigner3:.59763074007064702334;minibatchassigner4:.52452399414146635650;calc5:.53174808305332988713;nexmarkq26writer:.00700439390023261824;
sourcedatagen1:.86917312923446026999;calc2:.76408670822984777062;watermarkassigner3:.58033014006454119992;minibatchassigner4:.51116799297142953689;calc5:.51512156385692804163;nexmarkq26writer:.00895044519911467045;
sourcedatagen1:.88690779203149392520;calc2:.77735780221271974479;watermarkassigner3:.58753733116133849182;minibatchassigner4:.51738020090952283988;calc5:.52110907486594719337;nexmarkq26writer:.00577784565261657503;
sourcedatagen1:.87790858486325761504;calc2:.77914635411264391660;watermarkassigner3:.60009767313210939390;minibatchassigner4:.52921550323272136362;calc5:.53568958959997234035;nexmarkq26writer:.00709642844794799986;
sourcedatagen1:.86504474272930648769;calc2:.76855102392015143692;watermarkassigner3:.59025985200481844777;minibatchassigner4:.51765616933402168301;calc5:.52604973326449836516;nexmarkq26writer:.00652641541903286869;
sourcedatagen1:.86090505070756687216;calc2:.76004544467278164837;watermarkassigner3:.58742251850366731826;minibatchassigner4:.51507025545920839389;calc5:.52105993016223079879;nexmarkq26writer:.00646166441114062787;
