hw;repl;events;rate;calc10_S_m;calc10_S_std;calc10_R_m;calc10_R_std;calc2_S_m;calc2_S_std;calc2_R_m;calc2_R_std;calc5_S_m;calc5_S_std;calc5_R_m;calc5_R_std;calc7_S_m;calc7_S_std;calc7_R_m;calc7_R_std;join9_S_m;join9_S_std;join9_R_m;join9_R_std;minibatchassigner4_S_m;minibatchassigner4_S_std;minibatchassigner4_R_m;minibatchassigner4_R_std;nexmarkq311writer_S_m;nexmarkq311writer_S_std;nexmarkq311writer_R_m;nexmarkq311writer_R_std;sourcedatagen1_S_m;sourcedatagen1_S_std;sourcedatagen1_R_m;sourcedatagen1_R_std;watermarkassigner3_S_m;watermarkassigner3_S_std;watermarkassigner3_R_m;watermarkassigner3_R_std
ene-32;1;1000000;100000;0.001403;0.000009;0.001772;0.000307;0.086933;0.000124;0.086233;0.001310;0.036987;0.000053;0.041863;0.001168;0.045595;0.000065;0.047103;0.001127;0.014228;0.000075;0.017173;0.003322;0.074163;0.000106;0.078580;0.002261;0.002432;0.000015;0.002695;0.000175;0.949265;0.001351;0.945565;0.000852;0.065933;0.000094;0.069175;0.002686
ene-32;1;2000000;200000;0.001513;0.000013;0.001479;0.000338;0.125525;0.000000;0.124927;0.003112;0.063850;0.000000;0.067407;0.003184;0.070188;0.000000;0.073623;0.002907;0.022572;0.000133;0.023501;0.003321;0.109255;0.000000;0.115709;0.003224;0.002175;0.000018;0.002525;0.000419;0.948671;0.000002;0.944918;0.002231;0.096674;0.000000;0.098184;0.003100
ene-32;1;3000000;300000;0.001138;0.000011;0.001753;0.000237;0.164259;0.000000;0.165561;0.002285;0.087189;0.000000;0.093116;0.002737;0.094943;0.000000;0.097356;0.003993;0.031359;0.000064;0.029022;0.001239;0.144401;0.000000;0.147336;0.002353;0.002371;0.000024;0.002733;0.000511;0.948674;0.000002;0.944896;0.000847;0.134093;0.000000;0.125193;0.002220
ene-32;1;4000000;400000;0.001892;0.000017;0.002248;0.000447;0.207073;0.000000;0.203284;0.004480;0.118584;0.000000;0.109375;0.003324;0.124547;0.000000;0.112367;0.003719;0.037447;0.000147;0.035509;0.001226;0.192404;0.000001;0.177007;0.004379;0.002649;0.000024;0.002859;0.000353;0.948674;0.000003;0.942743;0.001884;0.152749;0.000001;0.150590;0.004011
ene-32;1;5000000;500000;0.002168;0.000014;0.001994;0.000386;0.267725;0.000000;0.241815;0.005777;0.144931;0.000000;0.129282;0.003466;0.157324;0.000000;0.132804;0.003294;0.046944;0.000172;0.042686;0.001832;0.238399;0.000000;0.215013;0.004213;0.002546;0.000017;0.002718;0.000409;0.948675;0.000001;0.942910;0.002609;0.195922;0.000000;0.175059;0.006600
ene-32;1;6000000;600000;0.002842;0.000015;0.002537;0.000482;0.302324;0.000000;0.289671;0.008539;0.162179;0.000000;0.152587;0.006435;0.161233;0.000000;0.154105;0.009725;0.058166;0.000179;0.052847;0.008147;0.265160;0.000000;0.255324;0.010420;0.002842;0.000015;0.002808;0.000440;0.948676;0.000002;0.941715;0.003799;0.209462;0.000000;0.207713;0.005580
ene-32;1;7000000;700000;0.001707;0.000005;0.002433;0.000490;0.329345;0.000000;0.317601;0.005561;0.177965;0.000000;0.162268;0.005401;0.181182;0.000000;0.165548;0.005087;0.059408;0.000108;0.056991;0.002166;0.301245;0.000000;0.284688;0.008467;0.003129;0.000008;0.002752;0.000370;0.948675;0.000001;0.941770;0.003627;0.233503;0.000000;0.224929;0.003527
ene-32;1;8000000;800000;0.002836;0.000013;0.002669;0.000380;0.384977;0.000000;0.362762;0.007260;0.192063;0.000000;0.185595;0.005944;0.198780;0.000000;0.187615;0.004217;0.074070;0.000089;0.069224;0.006861;0.340414;0.000001;0.324005;0.005270;0.002741;0.000013;0.002829;0.000622;0.948675;0.000001;0.939324;0.003446;0.257534;0.000000;0.252746;0.006692
ene-32;1;9000000;900000;0.003489;0.000015;0.003315;0.000630;0.411263;0.000000;0.411760;0.006537;0.213150;0.000000;0.199744;0.004820;0.221660;0.000000;0.206378;0.005679;0.077138;0.000105;0.078744;0.011086;0.380530;0.000000;0.363715;0.006705;0.002923;0.000012;0.003128;0.000576;0.948676;0.000001;0.938942;0.003837;0.290693;0.000000;0.284932;0.005260
ene-32;1;10000000;1000000;0.003690;0.000018;0.003290;0.000574;0.456794;0.000000;0.451116;0.006862;0.220358;0.000000;0.216013;0.006133;0.226600;0.000000;0.223527;0.005066;0.082344;0.000114;0.080294;0.002113;0.405251;0.000000;0.406519;0.009400;0.003595;0.000017;0.002896;0.000196;0.948675;0.000002;0.939473;0.003396;0.317391;0.000001;0.309257;0.004660
ene-32;1;100000000;10000000;0.003909;0.000107;0.003040;0.000226;0.642792;0.000019;0.598684;0.009162;0.295570;0.000009;0.270888;0.005125;0.305305;0.000009;0.281794;0.003684;0.345548;0.005167;0.303571;0.007427;0.596040;0.000017;0.559084;0.007647;0.001664;0.000046;0.001574;0.000114;0.999969;0.000029;0.853592;0.005482;0.445640;0.000013;0.403919;0.005580
ene-32;2;100000000;10000000;0.005485;0.000186;0.003908;0.000316;0.833677;0.000136;0.725213;0.027893;0.419641;0.000068;0.362264;0.017337;0.445474;0.000072;0.385974;0.018687;0.283236;0.003839;0.255547;0.012020;0.780432;0.000127;0.676245;0.027457;0.002182;0.000074;0.001981;0.000182;1.108.635;0.000180;0.905515;0.028840;0.578092;0.000094;0.496451;0.019891
ene-32;4;100000000;10000000;0.006836;0.000140;0.005097;0.000408;0.849621;0.000225;0.789476;0.032837;0.517543;0.000137;0.473723;0.021011;0.517681;0.000137;0.478643;0.020707;0.220928;0.003687;0.241535;0.013201;0.846493;0.000224;0.774618;0.032376;0.002933;0.000060;0.002567;0.000371;1.082.554;0.000288;0.924167;0.027432;0.610640;0.000162;0.566188;0.023488
ene-32;6;100000000;10000000;0.006366;0.000154;0.005644;0.000465;0.793816;0.000227;0.745688;0.017669;0.470662;0.000134;0.439097;0.012654;0.474947;0.000136;0.440931;0.012850;0.196872;0.003390;0.214017;0.009242;0.774319;0.000221;0.688905;0.013395;0.003046;0.000074;0.002844;0.000196;1.088.781;0.000312;0.918808;0.013859;0.571930;0.000163;0.536769;0.013819
ene-32;8;100000000;10000000;0.012930;0.000540;0.011569;0.000755;0.791040;0.002601;0.764506;0.010409;0.478769;0.001574;0.462987;0.009964;0.487074;0.001602;0.468136;0.009125;0.212759;0.002771;0.223526;0.006925;0.657333;0.002162;0.595790;0.007800;0.004414;0.000184;0.004560;0.000416;1.066.670;0.003509;0.916500;0.009596;0.573560;0.001886;0.555609;0.010163
ene-32;10;100000000;10000000;0.013342;0.000404;0.011242;0.000535;0.779873;0.009453;0.757787;0.006611;0.485887;0.005890;0.477750;0.005494;0.493758;0.005985;0.483540;0.006281;0.214023;0.003923;0.214791;0.006914;0.566993;0.006873;0.559970;0.006997;0.004811;0.000146;0.004421;0.000301;0.986993;0.011963;0.877293;0.007943;0.569501;0.006903;0.571944;0.008075
ene-32;12;100000000;10000000;0.010892;0.000268;0.009056;0.000630;0.745881;0.005227;0.738007;0.004570;0.483936;0.003391;0.477095;0.004382;0.488548;0.003423;0.479834;0.004514;0.206260;0.002696;0.223321;0.029284;0.556318;0.003898;0.565753;0.004400;0.004594;0.000113;0.004401;0.000302;0.913769;0.006403;0.836864;0.006556;0.563608;0.003949;0.566276;0.004865
